Nakamura,Hi	2758	2011.12.06	E97	3rd London Chess Classic		2011.12.03			97	0-1	4	London ENG		Anand,V	2811		twic892.pgn	E97
Kramnik,V	2800	2011.12.06	E21	3rd London Chess Classic		2011.12.03			108	1/2-1/2	4	London ENG		Carlsen,M	2826		twic892.pgn	E20
McShane,L	2671	2011.12.06	C45	3rd London Chess Classic		2011.12.03			73	0-1	4	London ENG		Howell,D	2633		twic892.pgn	C45
Short,N	2698	2011.12.06	C03	3rd London Chess Classic		2011.12.03			141	0-1	4	London ENG		Adams,Mi	2734		twic892.pgn	C03
Anand,V	2811	2011.12.08	B52	3rd London Chess Classic		2011.12.03			123	0-1	5	London ENG		Short,N	2698		twic892.pgn	B52
Carlsen,M	2826	2011.12.08	D12	3rd London Chess Classic		2011.12.03			77	1/2-1/2	5	London ENG		Aronian,L	2802		twic892.pgn	D12
Adams,Mi	2734	2011.12.08	E00	3rd London Chess Classic		2011.12.03			108	1-0	5	London ENG		Kramnik,V	2800		twic892.pgn	E00
Howell,D	2633	2011.12.08	A22	3rd London Chess Classic		2011.12.03			74	1-0	5	London ENG		Nakamura,Hi	2758		twic892.pgn	A22
Kramnik,V	2800	2011.12.09	D37	3rd London Chess Classic		2011.12.03			77	1/2-1/2	6	London ENG		Anand,V	2811		twic892.pgn	D37
Nakamura,Hi	2758	2011.12.09	B40	3rd London Chess Classic		2011.12.03			60	1/2-1/2	6	London ENG		McShane,L	2671		twic892.pgn	B40
Aronian,L	2802	2011.12.09	C67	3rd London Chess Classic		2011.12.03			66	1/2-1/2	6	London ENG		Adams,Mi	2734		twic892.pgn	C67
Short,N	2698	2011.12.09	B22	3rd London Chess Classic		2011.12.03			71	1/2-1/2	6	London ENG		Howell,D	2633		twic892.pgn	B22
Anand,V	2811	2011.12.10	D37	3rd London Chess Classic		2011.12.03			48	1/2-1/2	7	London ENG		Aronian,L	2802		twic892.pgn	D37
Adams,Mi	2734	2011.12.10	E21	3rd London Chess Classic		2011.12.03			74	1-0	7	London ENG		Carlsen,M	2826		twic892.pgn	E12
McShane,L	2671	2011.12.10	C34	3rd London Chess Classic		2011.12.03			71	0-1	7	London ENG		Short,N	2698		twic892.pgn	C34
Howell,D	2633	2011.12.10	D27	3rd London Chess Classic		2011.12.03			78	1-0	7	London ENG		Kramnik,V	2800		twic892.pgn	D27
Carlsen,M	2826	2011.12.11	D58	3rd London Chess Classic		2011.12.03			65	1/2-1/2	8	London ENG		Anand,V	2811		twic892.pgn	D58
Kramnik,V	2800	2011.12.11	C65	3rd London Chess Classic		2011.12.03			137	0-1	8	London ENG		McShane,L	2671		twic892.pgn	C65
Short,N	2698	2011.12.11	A21	3rd London Chess Classic		2011.12.03			178	1/2-1/2	8	London ENG		Nakamura,Hi	2758		twic892.pgn	A21
Aronian,L	2802	2011.12.11	B09	3rd London Chess Classic		2011.12.03			107	1/2-1/2	8	London ENG		Howell,D	2633		twic892.pgn	B09
Aronian,L	2802	2011.12.12	D37	3rd London Chess Classic		2011.12.03			62	1/2-1/2	9	London ENG		Kramnik,V	2800		twic892.pgn	D37
Carlsen,M	2826	2011.12.12	C50	3rd London Chess Classic		2011.12.03			152	1/2-1/2	9	London ENG		Short,N	2698		twic892.pgn	C50
Adams,Mi	2734	2011.12.12	C36	3rd London Chess Classic		2011.12.03			80	1-0	9	London ENG		Nakamura,Hi	2758		twic892.pgn	C36
Anand,V	2811	2011.12.12	B11	3rd London Chess Classic		2011.12.03			49	1/2-1/2	9	London ENG		McShane,L	2671		twic892.pgn	B11
Wallace,P	2229	2011.12.04	E81	London Classic FIDE Open		2011.12.03			68	1-0	2	London ENG		Gupta,Ab	2640		twic892.pgn	E81
Jones,G	2635	2011.12.04	C94	London Classic FIDE Open		2011.12.03			67	0-1	2	London ENG		Arvola,B	2232		twic892.pgn	C94
Britton,R	2219	2011.12.04	E98	London Classic FIDE Open		2011.12.03			91	0-1	2	London ENG		Tikkanen,H	2586		twic892.pgn	E98
Berg,E	2566	2011.12.04	C19	London Classic FIDE Open		2011.12.03			101	0-1	2	London ENG		Ledger,D	2228		twic892.pgn	C19
Thingstad,E	2213	2011.12.04	A05	London Classic FIDE Open		2011.12.03			234	1-0	2	London ENG		Pert,N	2563		twic892.pgn	A05
Cornette,M	2548	2011.12.04	B26	London Classic FIDE Open		2011.12.03			61	0-1	2	London ENG		White,Mi	2214		twic892.pgn	B26
Player,E	2199	2011.12.04	A00	London Classic FIDE Open		2011.12.03			121	1/2-1/2	2	London ENG		Hillarp Persson,T	2530		twic892.pgn	A00
Hebden,M	2515	2011.12.04	A49	London Classic FIDE Open		2011.12.03			49	0-1	2	London ENG		Surendran,N	2207		twic892.pgn	A49
O'Toole,G	2189	2011.12.04	C42	London Classic FIDE Open		2011.12.03			120	1-0	2	London ENG		Grover,S	2515		twic892.pgn	C42
Wells,P	2492	2011.12.04	D02	London Classic FIDE Open		2011.12.03			49	0-1	2	London ENG		Jetzl,J	2196		twic892.pgn	D02
Das,Arg	2470	2011.12.04	A40	London Classic FIDE Open		2011.12.03			53	0-1	2	London ENG		Mohammad,As	2188		twic892.pgn	A40
Ethelontis,A	2186	2011.12.04	C19	London Classic FIDE Open		2011.12.03			72	1-0	2	London ENG		Hunt,A	2458		twic892.pgn	C19
Pert,R	2455	2011.12.04	B53	London Classic FIDE Open		2011.12.03			83	0-1	2	London ENG		Harari,Z	2180		twic892.pgn	B53
Maduekwe,C	2180	2011.12.04	C07	London Classic FIDE Open		2011.12.03			50	1-0	2	London ENG		Chevelevitch,E	2435		twic892.pgn	C07
Spivack,S	2175	2011.12.04	A43	London Classic FIDE Open		2011.12.03			88	1-0	2	London ENG		Summerscale,A	2422		twic892.pgn	A43
Tozer,Philip A A	2159	2011.12.04	A90	London Classic FIDE Open		2011.12.03			76	1-0	2	London ENG		Houska,Jo	2415		twic892.pgn	A40
Roy Chowdhury,S	2411	2011.12.04	A40	London Classic FIDE Open		2011.12.03			121	0-1	2	London ENG		Blazquez,D	2178		twic892.pgn	A40
Gavriel,T	2156	2011.12.04	A80	London Classic FIDE Open		2011.12.03			38	1-0	2	London ENG		D'Costa,L	2409		twic892.pgn	A80
Thorfinnsson,Bj	2402	2011.12.04	C70	London Classic FIDE Open		2011.12.03			99	0-1	2	London ENG		Josse,Mar	2162		twic892.pgn	C70
Yeo,M	2152	2011.12.04	D90	London Classic FIDE Open		2011.12.03			80	1-0	2	London ENG		Slavin,A	2400		twic892.pgn	D90
Hassan,Ab	2398	2011.12.04	C00	London Classic FIDE Open		2011.12.03			66	1-0	2	London ENG		Williamson,R	2157		twic892.pgn	C00
Ansell,S	2389	2011.12.04	B14	London Classic FIDE Open		2011.12.03			113	1/2-1/2	2	London ENG		Karthikeyan,M2	2154		twic892.pgn	B14
Jaunooby,A	2144	2011.12.04	B01	London Classic FIDE Open		2011.12.03			123	0-1	2	London ENG		Rendle,T	2389		twic892.pgn	B01
Bates,Ri	2386	2011.12.04	E90	London Classic FIDE Open		2011.12.03			47	0-1	2	London ENG		Quinn,Joh	2151		twic892.pgn	E90
Nandhidhaa,P	2139	2011.12.04	D58	London Classic FIDE Open		2011.12.03			176	1/2-1/2	2	London ENG		Buckley,G	2383		twic892.pgn	D58
Mikkelsen,N	2381	2011.12.04	B23	London Classic FIDE Open		2011.12.03			93	1/2-1/2	2	London ENG		Tavoularis,N	2143		twic892.pgn	B23
