Rublevsky,S	2680	2007.05.27	D17	WCh Candidates s/f		2007.05.27			73	1/2-1/2	1	Elista RUS		Ponomariov,R	2717		twic655.pgn	D17
Bacrot,E	2709	2007.05.27	D15	WCh Candidates s/f		2007.05.27			56	1/2-1/2	1	Elista RUS		Kamsky,G	2705		twic655.pgn	D15
Aronian,L	2759	2007.05.27	C84	WCh Candidates s/f		2007.05.27			71	0-1	1	Elista RUS		Carlsen,M	2693		twic655.pgn	C84
Bareev,E	2643	2007.05.27	B19	WCh Candidates s/f		2007.05.27			124	1/2-1/2	1	Elista RUS		Polgar,Ju	2727		twic655.pgn	B19
Shirov,A	2699	2007.05.27	C06	WCh Candidates s/f		2007.05.27			98	1/2-1/2	1	Elista RUS		Adams,Mi	2734		twic655.pgn	C06
Malakhov,V	2679	2007.05.27	B61	WCh Candidates s/f		2007.05.27			82	1-0	1	Elista RUS		Grischuk,A	2717		twic655.pgn	B61
Gurevich,M	2635	2007.05.27	C10	WCh Candidates s/f		2007.05.27			69	1/2-1/2	1	Elista RUS		Leko,P	2738		twic655.pgn	C11
Kasimdzhanov,R	2677	2007.05.27	D43	WCh Candidates s/f		2007.05.27			92	1/2-1/2	1	Elista RUS		Gelfand,B	2733		twic655.pgn	D43
Carlsen,M	2693	2007.05.28	A58	WCh Candidates s/f		2007.05.27			40	1/2-1/2	2	Elista RUS		Aronian,L	2759		twic655.pgn	A58
Ponomariov,R	2717	2007.05.28	B86	WCh Candidates s/f		2007.05.27			81	1/2-1/2	2	Elista RUS		Rublevsky,S	2680		twic655.pgn	B90
Gelfand,B	2733	2007.05.28	E15	WCh Candidates s/f		2007.05.27			44	1/2-1/2	2	Elista RUS		Kasimdzhanov,R	2677		twic655.pgn	E15
Kamsky,G	2705	2007.05.28	A81	WCh Candidates s/f		2007.05.27			77	0-1	2	Elista RUS		Bacrot,E	2709		twic655.pgn	A81
Adams,Mi	2734	2007.05.28	C78	WCh Candidates s/f		2007.05.27			106	1/2-1/2	2	Elista RUS		Shirov,A	2699		twic655.pgn	C78
Polgar,Ju	2727	2007.05.28	E15	WCh Candidates s/f		2007.05.27			126	1-0	2	Elista RUS		Bareev,E	2643		twic655.pgn	E15
Grischuk,A	2717	2007.05.28	A30	WCh Candidates s/f		2007.05.27			126	1/2-1/2	2	Elista RUS		Malakhov,V	2679		twic655.pgn	A15
Leko,P	2738	2007.05.28	E32	WCh Candidates s/f		2007.05.27			105	0-1	2	Elista RUS		Gurevich,M	2635		twic655.pgn	E32
Sokolov,Iv NED	2655	2007.05.22	C51	XXXVII Bosnia GM		2007.05.19			82	1-0	4	Sarajevo BIH		Short,N	2691		twic655.pgn	C51
Movsesian,S	2642	2007.05.22	D38	XXXVII Bosnia GM		2007.05.19			61	0-1	4	Sarajevo BIH		Morozevich,A	2762		twic655.pgn	D38
Predojevic,B	2609	2007.05.22	B56	XXXVII Bosnia GM		2007.05.19			77	0-1	4	Sarajevo BIH		Timofeev,Arty	2658		twic655.pgn	B56
Short,N	2691	2007.05.23	C45	XXXVII Bosnia GM		2007.05.19			76	1-0	5	Sarajevo BIH		Movsesian,S	2642		twic655.pgn	C45
Morozevich,A	2762	2007.05.23	B83	XXXVII Bosnia GM		2007.05.19			95	1/2-1/2	5	Sarajevo BIH		Predojevic,B	2609		twic655.pgn	B83
Timofeev,Arty	2658	2007.05.23	D85	XXXVII Bosnia GM		2007.05.19			141	1/2-1/2	5	Sarajevo BIH		Sokolov,Iv NED	2655		twic655.pgn	D85
Timofeev,Arty	2658	2007.05.24	B30	XXXVII Bosnia GM		2007.05.19			170	1/2-1/2	6	Sarajevo BIH		Movsesian,S	2642		twic655.pgn	B30
Predojevic,B	2609	2007.05.24	D48	XXXVII Bosnia GM		2007.05.19			67	1/2-1/2	6	Sarajevo BIH		Sokolov,Iv NED	2655		twic655.pgn	D47
Short,N	2691	2007.05.24	C45	XXXVII Bosnia GM		2007.05.19			77	0-1	6	Sarajevo BIH		Morozevich,A	2762		twic655.pgn	C45
Sokolov,Iv NED	2655	2007.05.25	C45	XXXVII Bosnia GM		2007.05.19			49	1/2-1/2	7	Sarajevo BIH		Movsesian,S	2642		twic655.pgn	C45
Predojevic,B	2609	2007.05.25	B43	XXXVII Bosnia GM		2007.05.19			104	1/2-1/2	7	Sarajevo BIH		Short,N	2691		twic655.pgn	B43
Timofeev,Arty	2658	2007.05.25	B70	XXXVII Bosnia GM		2007.05.19			14	1/2-1/2	7	Sarajevo BIH		Morozevich,A	2762		twic655.pgn	B32
Movsesian,S	2642	2007.05.26	B84	XXXVII Bosnia GM		2007.05.19			34	1/2-1/2	8	Sarajevo BIH		Predojevic,B	2609		twic655.pgn	B80
Morozevich,A	2762	2007.05.26	D47	XXXVII Bosnia GM		2007.05.19			111	0-1	8	Sarajevo BIH		Sokolov,Iv NED	2655		twic655.pgn	D47
Short,N	2691	2007.05.26	C99	XXXVII Bosnia GM		2007.05.19			76	1/2-1/2	8	Sarajevo BIH		Timofeev,Arty	2658		twic655.pgn	C99
