Carlsen,M	2872	2014.02.04	A58	Zurich CC Rapid 2014		2014.02.04			45	0-1	1.1	Zurich SUI		Gelfand,B	2761		twic1005.pgn	A58
Aronian,L	2826	2014.02.04	A56	Zurich CC Rapid 2014		2014.02.04			87	0-1	1.2	Zurich SUI		Anand,V	2773		twic1005.pgn	A56
Nakamura,Hi	2776	2014.02.04	A62	Zurich CC Rapid 2014		2014.02.04			86	1-0	1.3	Zurich SUI		Caruana,F	2781		twic1005.pgn	A62
Gelfand,B	2761	2014.02.04	B52	Zurich CC Rapid 2014		2014.02.04			101	1/2-1/2	2.1	Zurich SUI		Caruana,F	2781		twic1005.pgn	B52
Anand,V	2773	2014.02.04	A01	Zurich CC Rapid 2014		2014.02.04			50	1-0	2.2	Zurich SUI		Nakamura,Hi	2776		twic1005.pgn	A01
Carlsen,M	2872	2014.02.04	E06	Zurich CC Rapid 2014		2014.02.04			104	1-0	2.3	Zurich SUI		Aronian,L	2826		twic1005.pgn	E06
Aronian,L	2826	2014.02.04	E06	Zurich CC Rapid 2014		2014.02.04			76	1/2-1/2	3.1	Zurich SUI		Gelfand,B	2761		twic1005.pgn	E06
Nakamura,Hi	2776	2014.02.04	B51	Zurich CC Rapid 2014		2014.02.04			139	1/2-1/2	3.2	Zurich SUI		Carlsen,M	2872		twic1005.pgn	B51
Caruana,F	2781	2014.02.04	B41	Zurich CC Rapid 2014		2014.02.04			138	0-1	3.3	Zurich SUI		Anand,V	2773		twic1005.pgn	B41
Gelfand,B	2761	2014.02.04	B92	Zurich CC Rapid 2014		2014.02.04			180	1/2-1/2	4.1	Zurich SUI		Anand,V	2773		twic1005.pgn	B92
Carlsen,M	2872	2014.02.04	A05	Zurich CC Rapid 2014		2014.02.04			86	1-0	4.2	Zurich SUI		Caruana,F	2781		twic1005.pgn	A05
Aronian,L	2826	2014.02.04	A01	Zurich CC Rapid 2014		2014.02.04			154	1-0	4.3	Zurich SUI		Nakamura,Hi	2776		twic1005.pgn	A01
Nakamura,Hi	2776	2014.02.04	A80	Zurich CC Rapid 2014		2014.02.04			96	0-1	5.1	Zurich SUI		Gelfand,B	2761		twic1005.pgn	A80
Caruana,F	2781	2014.02.04	A04	Zurich CC Rapid 2014		2014.02.04			83	1/2-1/2	5.2	Zurich SUI		Aronian,L	2826		twic1005.pgn	A04
Anand,V	2773	2014.02.04	C67	Zurich CC Rapid 2014		2014.02.04			69	1/2-1/2	5.3	Zurich SUI		Carlsen,M	2872		twic1005.pgn	C67
Bologan,V	2660	2014.02.03	E53	Gibraltar Masters 2014		2014.01.28			169	1/2-1/2	7.16	Caleta ENG		Raznikov,D	2479		twic1005.pgn	E53
Rahman,Zia	2499	2014.02.03	D31	Gibraltar Masters 2014		2014.01.28			105	1/2-1/2	7.17	Caleta ENG		Agdestein,S	2627		twic1005.pgn	D31
Van Kampen,R	2602	2014.02.03	D90	Gibraltar Masters 2014		2014.01.28			58	1-0	7.18	Caleta ENG		Al Sayed,Mohamad	2476		twic1005.pgn	D90
Henrichs,T	2477	2014.02.03	B22	Gibraltar Masters 2014		2014.01.28			74	1-0	7.19	Caleta ENG		Salgado Lopez,I	2597		twic1005.pgn	B22
Ashwin,J	2473	2014.02.03	E15	Gibraltar Masters 2014		2014.01.28			122	1-0	7.20	Caleta ENG		Mareco,S	2582		twic1005.pgn	E15
Guo Qi	2451	2014.02.03	A13	Gibraltar Masters 2014		2014.01.28			66	1/2-1/2	7.21	Caleta ENG		Dvirnyy,D	2574		twic1005.pgn	A13
Zhukova,N	2449	2014.02.03	A87	Gibraltar Masters 2014		2014.01.28			92	1-0	7.22	Caleta ENG		Zhao Xue	2568		twic1005.pgn	A87
Munguntuul,B	2438	2014.02.03	B49	Gibraltar Masters 2014		2014.01.28			80	1-0	7.23	Caleta ENG		Mekhitarian,K	2566		twic1005.pgn	B49
Salem,AR	2564	2014.02.03	D96	Gibraltar Masters 2014		2014.01.28			83	0-1	7.24	Caleta ENG		Flear,G	2471		twic1005.pgn	D96
