Leko,P	2722	2002.09.08	B30	RUS vs. ROW		2002.09.08			88	1/2-1/2	2	Moscow RUS		Kasparov,G	2838		twic410.pgn	B30
Grischuk,A	2702	2002.09.10	E12	RUS vs. ROW		2002.09.08			35	1/2-1/2	6	Moscow RUS		Azmaiparashvili,Z	2676		twic410.pgn	E12
Leko,P	2722	2002.09.10	E32	RUS vs. ROW		2002.09.08			34	1/2-1/2	6	Moscow RUS		Khalifman,A	2690		twic410.pgn	E32
Ivanchuk,V	2711	2002.09.10	D27	RUS vs. ROW		2002.09.08			87	1/2-1/2	6	Moscow RUS		Karpov,An	2687		twic410.pgn	D27
Motylev,A	2634	2002.09.10	C42	RUS vs. ROW		2002.09.08			52	1-0	6	Moscow RUS		Shirov,A	2697		twic410.pgn	C42
Morozevich,A	2716	2002.09.10	D15	RUS vs. ROW		2002.09.08			67	0-1	6	Moscow RUS		Radjabov,T	2610		twic410.pgn	D10
Svidler,P	2690	2002.09.10	C88	RUS vs. ROW		2002.09.08			118	1/2-1/2	6	Moscow RUS		Ponomariov,R	2743		twic410.pgn	C88
Short,N	2682	2002.09.10	B04	RUS vs. ROW		2002.09.08			110	1/2-1/2	6	Moscow RUS		Kasparov,G	2838		twic410.pgn	B04
Polgar,Ju	2681	2002.09.10	E15	RUS vs. ROW		2002.09.08			116	1/2-1/2	6	Moscow RUS		Kramnik,V	2807		twic410.pgn	E15
Bareev,E	2726	2002.09.10	B12	RUS vs. ROW		2002.09.08			123	0-1	6	Moscow RUS		Smirin,I	2676		twic410.pgn	B12
Dreev,A	2676	2002.09.10	B12	RUS vs. ROW		2002.09.08			130	1-0	6	Moscow RUS		Gelfand,B	2710		twic410.pgn	B12
Rublevsky,S	2658	2002.09.10	B46	RUS vs. ROW		2002.09.08			134	1/2-1/2	7	Moscow RUS		Short,N	2682		twic410.pgn	B46
Dreev,A	2676	2002.09.10	B10	RUS vs. ROW		2002.09.08			83	0-1	7	Moscow RUS		Polgar,Ju	2681		twic410.pgn	B01
Gelfand,B	2710	2002.09.10	D12	RUS vs. ROW		2002.09.08			89	1/2-1/2	7	Moscow RUS		Karpov,An	2687		twic410.pgn	D12
Grischuk,A	2702	2002.09.10	C69	RUS vs. ROW		2002.09.08			82	1/2-1/2	7	Moscow RUS		Ivanchuk,V	2711		twic410.pgn	C69
Smirin,I	2676	2002.09.10	E97	RUS vs. ROW		2002.09.08			77	0-1	7	Moscow RUS		Kramnik,V	2807		twic410.pgn	E97
Ponomariov,R	2743	2002.09.10	A29	RUS vs. ROW		2002.09.08			79	1/2-1/2	7	Moscow RUS		Bareev,E	2726		twic410.pgn	A20
Shirov,A	2697	2002.09.10	A29	RUS vs. ROW		2002.09.08			58	1/2-1/2	7	Moscow RUS		Khalifman,A	2690		twic410.pgn	A29
Anand,V	2755	2002.09.10	B13	RUS vs. ROW		2002.09.08			36	1/2-1/2	7	Moscow RUS		Morozevich,A	2716		twic410.pgn	B13
