Timofeev,Arty	2611	2004.11.15	D80	57th ch-RUS		2004.11.15			38	1/2-1/2	1	Moscow RUS		Dreev,A	2698		twic523.pgn	D80
Grischuk,A	2704	2004.11.15	B90	57th ch-RUS		2004.11.15			67	0-1	1	Moscow RUS		Motylev,A	2651		twic523.pgn	B90
Bareev,E	2715	2004.11.15	B19	57th ch-RUS		2004.11.15			94	1-0	1	Moscow RUS		Kasparov,G	2813		twic523.pgn	B18
Morozevich,A	2758	2004.11.15	D12	57th ch-RUS		2004.11.15			139	1/2-1/2	1	Moscow RUS		Epishin,V	2599		twic523.pgn	D12
Svidler,P	2735	2004.11.15	B92	57th ch-RUS		2004.11.15			105	0-1	1	Moscow RUS		Tseshkovsky,V	2577		twic523.pgn	B92
Lutz,C	2596	2004.11.12	A14	Bundesliga 2004-5		2004.11.14			30	1/2-1/2	7	Koelln GER		Hickl,J	2530		twic523.pgn	A14
Ginsburg,G	2481	2004.11.12	D58	Bundesliga 2004-5		2004.11.14			70	1/2-1/2	7	Koelln GER		Van Wely,L	2681		twic523.pgn	D58
Vaganian,R	2640	2004.11.12	C02	Bundesliga 2004-5		2004.11.14			91	0-1	7	Koelln GER		Zude,A	2398		twic523.pgn	C02
Houska,Jo	2298	2004.11.12	D15	Bundesliga 2004-5		2004.11.14			219	1/2-1/2	7	Koelln GER		Beliavsky,A	2660		twic523.pgn	D15
Graf,A	2646	2004.11.12	E94	Bundesliga 2004-5		2004.11.14			63	0-1	7	Koelln GER		Zude,E	2385		twic523.pgn	E94
Buchal,S	2365	2004.11.12	A21	Bundesliga 2004-5		2004.11.14			94	1-0	7	Koelln GER		Gurevich,M	2644		twic523.pgn	A10
Hansen,Cu	2633	2004.11.12	A08	Bundesliga 2004-5		2004.11.14			79	0-1	7	Koelln GER		Brendel,O	2340		twic523.pgn	B40
Zunker,R	2252	2004.11.12	C18	Bundesliga 2004-5		2004.11.14			136	1-0	7	Koelln GER		Van den Doel,E	2560		twic523.pgn	C19
Svidler,P	2735	2004.11.12	B06	Bundesliga 2004-5		2004.11.14			95	0-1	7	Baden Oos GER		Gyimesi,Z	2613		twic523.pgn	B06
Acs,P	2521	2004.11.12	C96	Bundesliga 2004-5		2004.11.14			98	1-0	7	Baden Oos GER		Shirov,A	2726		twic523.pgn	C96
Movsesian,S	2629	2004.11.12	B48	Bundesliga 2004-5		2004.11.14			85	0-1	7	Baden Oos GER		Medvegy,Z	2467		twic523.pgn	B48
Schulze,U	2333	2004.11.12	A31	Bundesliga 2004-5		2004.11.14			42	1-0	7	Baden Oos GER		Krasenkow,M	2676		twic523.pgn	A15
Dautov,R	2623	2004.11.12	B10	Bundesliga 2004-5		2004.11.14			73	0-1	7	Baden Oos GER		Miltner,A	2402		twic523.pgn	B10
Balzar,A	2352	2004.11.12	B90	Bundesliga 2004-5		2004.11.14			68	1-0	7	Baden Oos GER		Schmaltz,R	2528		twic523.pgn	B90
Doettling,F	2526	2004.11.12	D13	Bundesliga 2004-5		2004.11.14			50	1/2-1/2	7	Baden Oos GER		Koch,W	2330		twic523.pgn	D10
Gruber,T	2307	2004.11.12	B13	Bundesliga 2004-5		2004.11.14			68	1-0	7	Baden Oos GER		Keitlinghaus,L	2493		twic523.pgn	B13
Nisipeanu,LD	2687	2004.11.12	B60	Bundesliga 2004-5		2004.11.14			107	0-1	7	Kreuzberg GER		Nataf,IA	2565		twic523.pgn	B60
Miroshnichenko,E	2617	2004.11.12	B03	Bundesliga 2004-5		2004.11.14			82	1-0	7	Kreuzberg GER		Almasi,Z	2650		twic523.pgn	B03
Aronian,L	2675	2004.11.12	C91	Bundesliga 2004-5		2004.11.14			119	0-1	7	Kreuzberg GER		Polzin,R	2517		twic523.pgn	C91
Borriss,M	2439	2004.11.12	B23	Bundesliga 2004-5		2004.11.14			80	1-0	7	Kreuzberg GER		Maiwald,JU	2514		twic523.pgn	B23
Kalinitschew,S	2533	2004.11.12	B33	Bundesliga 2004-5		2004.11.14			60	1/2-1/2	7	Kreuzberg GER		Berndt,S	2438		twic523.pgn	B33
Thiede,L	2442	2004.11.12	E91	Bundesliga 2004-5		2004.11.14			157	0-1	7	Kreuzberg GER		Volke,K	2483		twic523.pgn	E94
Tischbierek,R	2477	2004.11.12	A13	Bundesliga 2004-5		2004.11.14			83	0-1	7	Kreuzberg GER		Poldauf,D	2418		twic523.pgn	A13
Rudolf,Hen	2322	2004.11.12	E74	Bundesliga 2004-5		2004.11.14			67	1/2-1/2	7	Kreuzberg GER		Loeffler,S	2432		twic523.pgn	E74
Adly,A	2482	2004.11.08	A14	WYb18		2004.11.04			88	1/2-1/2	6	Heraklio GRE		Tomashevsky,E	2523		twic523.pgn	A13
Wojtaszek,R	2536	2004.11.08	A88	WYb18		2004.11.04			101	0-1	6	Heraklio GRE		Gerzhoy,L	2372		twic523.pgn	A88
