Shabalov,A	2601	2000.10.04	E70	ch-USA		2000.09.25			93	0-1	9	Seattle USA		Serper,G	2574		twic309.pgn	E70
De Firmian,N	2567	2000.10.04	A63	ch-USA		2000.09.25			92	1/2-1/2	9	Seattle USA		Kaidanov,G	2624		twic309.pgn	A62
Gurevich,D	2542	2000.10.05	A29	ch-USA		2000.09.25			68	1/2-1/2	10	Seattle USA		Gulko,B	2643		twic309.pgn	A29
Kaidanov,G	2624	2000.10.05	D27	ch-USA		2000.09.25			49	1/2-1/2	10	Seattle USA		Serper,G	2574		twic309.pgn	D27
Yermolinsky,A	2596	2000.10.05	B88	ch-USA		2000.09.25			66	1/2-1/2	10	Seattle USA		Christiansen,L	2563		twic309.pgn	B88
Ivanov,AV	2567	2000.10.05	B19	ch-USA		2000.09.25			107	0-1	10	Seattle USA		De Firmian,N	2567		twic309.pgn	B18
Seirawan,Y	2647	2000.10.05	C11	ch-USA		2000.09.25			144	1-0	10	Seattle USA		Benjamin,Joe	2577		twic309.pgn	C10
Fedorowicz,J	2533	2000.10.05	B67	ch-USA		2000.09.25			52	1-0	10	Seattle USA		Shabalov,A	2601		twic309.pgn	B67
Benjamin,Joe	2577	2000.10.06	E18	ch-USA		2000.09.25			26	1/2-1/2	11	Seattle USA		Fedorowicz,J	2533		twic309.pgn	E18
Gulko,B	2643	2000.10.06	A30	ch-USA		2000.09.25			106	1-0	11	Seattle USA		Seirawan,Y	2647		twic309.pgn	A30
Christiansen,L	2563	2000.10.06	E11	ch-USA		2000.09.25			143	1/2-1/2	11	Seattle USA		Gurevich,D	2542		twic309.pgn	E00
Serper,G	2574	2000.10.06	B42	ch-USA		2000.09.25			239	1/2-1/2	11	Seattle USA		Ivanov,AV	2567		twic309.pgn	B42
Shabalov,A	2601	2000.10.06	E04	ch-USA		2000.09.25			46	1/2-1/2	11	Seattle USA		Kaidanov,G	2624		twic309.pgn	E04
De Firmian,N	2567	2000.10.06	E18	ch-USA		2000.09.25			36	1/2-1/2	11	Seattle USA		Yermolinsky,A	2596		twic309.pgn	E17
Shabalov,A	2601	2000.10.07	E32	ch-USA Playoff		2000.10.07			58	1-0	1	Seattle USA		Seirawan,Y	2647		twic309.pgn	E32
Benjamin,Joe	2577	2000.10.07	B00	ch-USA Playoff		2000.10.07			53	0-1	2	Seattle USA		Shabalov,A	2601		twic309.pgn	B00
Seirawan,Y	2647	2000.10.07	B14	ch-USA Playoff		2000.10.07			108	1-0	3	Seattle USA		Benjamin,Joe	2577		twic309.pgn	B14
Seirawan,Y	2647	2000.10.07	B12	ch-USA Playoff		2000.10.07			76	1-0	4	Seattle USA		Shabalov,A	2601		twic309.pgn	B12
Shabalov,A	2601	2000.10.07	C03	ch-USA Playoff		2000.10.07			52	1-0	5	Seattle USA		Benjamin,Joe	2577		twic309.pgn	C03
Shahade,J	2238	2000.10.01	B76	ch-USA Women		2000.09.25			88	1/2-1/2	6	Seattle USA		Sagalchik,O	2145		twic309.pgn	B76
Baginskaite,C	2287	2000.10.01	B87	ch-USA Women		2000.09.25			57	0-1	6	Seattle USA		Gorlin,Y	2110		twic309.pgn	B87
Khan,A	2257	2000.10.01	B20	ch-USA Women		2000.09.25			156	1/2-1/2	6	Seattle USA		Airapetian,S	2072		twic309.pgn	B20
Epstein,E	2224	2000.10.01	B06	ch-USA Women		2000.09.25			100	1/2-1/2	6	Seattle USA		Frenklakh,J	2133		twic309.pgn	B06
Burtman,S	2089	2000.10.01	B39	ch-USA Women		2000.09.25			97	1/2-1/2	6	Seattle USA		Groberman,E	2054		twic309.pgn	B39
Gorlin,Y	2110	2000.10.02	A13	ch-USA Women		2000.09.25			70	1/2-1/2	7	Seattle USA		Khan,A	2257		twic309.pgn	A13
Airapetian,S	2072	2000.10.02	C45	ch-USA Women		2000.09.25			97	1/2-1/2	7	Seattle USA		Epstein,E	2224		twic309.pgn	C45
Frenklakh,J	2133	2000.10.02	B07	ch-USA Women		2000.09.25			138	1-0	7	Seattle USA		Shahade,J	2238		twic309.pgn	B06
Groberman,E	2054	2000.10.02	E69	ch-USA Women		2000.09.25			30	1/2-1/2	7	Seattle USA		Baginskaite,C	2287		twic309.pgn	E69
Sagalchik,O	2145	2000.10.02	D09	ch-USA Women		2000.09.25			67	0-1	7	Seattle USA		Burtman,S	2089		twic309.pgn	D09
Burtman,S	2089	2000.10.03	A80	ch-USA Women		2000.09.25			80	1-0	8	Seattle USA		Frenklakh,J	2133		twic309.pgn	A80
Sagalchik,O	2145	2000.10.03	B82	ch-USA Women		2000.09.25			72	1-0	8	Seattle USA		Groberman,E	2054		twic309.pgn	B43
Khan,A	2257	2000.10.03	A43	ch-USA Women		2000.09.25			74	1/2-1/2	8	Seattle USA		Baginskaite,C	2287		twic309.pgn	A40
Epstein,E	2224	2000.10.03	B34	ch-USA Women		2000.09.25			91	0-1	8	Seattle USA		Gorlin,Y	2110		twic309.pgn	B27
Shahade,J	2238	2000.10.03	D01	ch-USA Women		2000.09.25			79	0-1	8	Seattle USA		Airapetian,S	2072		twic309.pgn	D01
Gorlin,Y	2110	2000.10.05	C06	ch-USA Women		2000.09.25			76	1/2-1/2	9	Seattle USA		Shahade,J	2238		twic309.pgn	C06
Airapetian,S	2072	2000.10.05	A90	ch-USA Women		2000.09.25			79	1-0	9	Seattle USA		Burtman,S	2089		twic309.pgn	D30
Frenklakh,J	2133	2000.10.05	D36	ch-USA Women		2000.09.25			90	1-0	9	Seattle USA		Sagalchik,O	2145		twic309.pgn	D35
Baginskaite,C	2287	2000.10.05	B90	ch-USA Women		2000.09.25			121	0-1	9	Seattle USA		Epstein,E	2224		twic309.pgn	B90
Groberman,E	2054	2000.10.05	A26	ch-USA Women		2000.09.25			84	1/2-1/2	9	Seattle USA		Khan,A	2257		twic309.pgn	A00
Baginskaite,C	2287	2000.10.07	B91	ch-USA Women Playoff		2000.10.07			85	0-1	1	Seattle USA		Groberman,E	2054		twic309.pgn	B91
Groberman,E	2054	2000.10.07	E62	ch-USA Women Playoff		2000.10.07			56	1-0	2	Seattle USA		Baginskaite,C	2287		twic309.pgn	E62
Dizdarevic,E	2527	2000.10.02	B07	1st European Rapid Ch		2000.10.02			50	1-0	1	Neum BIH		Dreev,A	2676		twic309.pgn	B07
Nikolic,Pr	2657	2000.10.02	E41	1st European Rapid Ch		2000.10.02			129	1/2-1/2	1	Neum BIH		Kantsler,B	2524		twic309.pgn	E41
Zvjaginsev,V	2634	2000.10.02	B64	1st European Rapid Ch		2000.10.02			59	1/2-1/2	1	Neum BIH		Lalic,B	2520		twic309.pgn	B64
Malaniuk,V	2548	2000.10.02	C45	1st European Rapid Ch		2000.10.02			39	1/2-1/2	2	Neum BIH		Azmaiparashvili,Z	2673		twic309.pgn	C45
Rublevsky,S	2670	2000.10.02	D14	1st European Rapid Ch		2000.10.02			66	1-0	2	Neum BIH		Cvitan,O	2541		twic309.pgn	D14
Lalic,B	2520	2000.10.02	D02	1st European Rapid Ch		2000.10.02			63	0-1	2	Neum BIH		Nikolic,Pr	2657		twic309.pgn	A49
Dreev,A	2676	2000.10.02	D43	1st European Rapid Ch		2000.10.02			145	0-1	2	Neum BIH		Poluljahov,A	2543		twic309.pgn	D43
Cvitan,O	2541	2000.10.02	E68	1st European Rapid Ch		2000.10.02			117	1/2-1/2	3	Neum BIH		Filippov,V	2593		twic309.pgn	E68
Sokolov,I	2611	2000.10.02	D10	1st European Rapid Ch		2000.10.02			106	1/2-1/2	3	Neum BIH		Chernin,A	2572		twic309.pgn	A50
Gofshtein,L	2561	2000.10.02	B07	1st European Rapid Ch		2000.10.02			70	1-0	3	Neum BIH		Dreev,A	2676		twic309.pgn	B07
Timoshenko,G	2557	2000.10.02	E32	1st European Rapid Ch		2000.10.02			70	1-0	3	Neum BIH		Van Wely,L	2643		twic309.pgn	E32
Pigusov,E	2578	2000.10.02	B36	1st European Rapid Ch		2000.10.02			76	1-0	4	Neum BIH		Vaganian,R	2623		twic309.pgn	A34
Chernin,A	2572	2000.10.02	D44	1st European Rapid Ch		2000.10.02			54	1-0	4	Neum BIH		Azmaiparashvili,Z	2673		twic309.pgn	D44
Greenfeld,A	2574	2000.10.02	D02	1st European Rapid Ch		2000.10.02			85	0-1	4	Neum BIH		Dizdarevic,E	2527		twic309.pgn	A07
Lalic,B	2520	2000.10.02	D25	1st European Rapid Ch		2000.10.02			33	1/2-1/2	4	Neum BIH		Gofshtein,L	2561		twic309.pgn	D11
Dreev,A	2676	2000.10.02	D43	1st European Rapid Ch		2000.10.02			71	0-1	4	Neum BIH		Van Wely,L	2643		twic309.pgn	D43
Vaganian,R	2623	2000.10.02	E04	1st European Rapid Ch		2000.10.02			88	1-0	5	Neum BIH		Cvitan,O	2541		twic309.pgn	E04
Sokolov,I	2611	2000.10.02	D35	1st European Rapid Ch		2000.10.02			77	0-1	5	Neum BIH		Dreev,A	2676		twic309.pgn	D35
Azmaiparashvili,Z	2673	2000.10.02	A41	1st European Rapid Ch		2000.10.02			134	1/2-1/2	5	Neum BIH		Filippov,V	2593		twic309.pgn	A04
Van Wely,L	2643	2000.10.02	D24	1st European Rapid Ch		2000.10.02			88	1-0	5	Neum BIH		Greenfeld,A	2574		twic309.pgn	D37
Greenfeld,A	2574	2000.10.03	A57	1st European Rapid Ch		2000.10.02			61	0-1	6	Neum BIH		Tregubov,P	2620		twic309.pgn	A57
Dreev,A	2676	2000.10.03	D43	1st European Rapid Ch		2000.10.02			119	0-1	6	Neum BIH		Filippov,V	2593		twic309.pgn	D43
Pigusov,E	2578	2000.10.03	E38	1st European Rapid Ch		2000.10.02			82	1-0	6	Neum BIH		Azmaiparashvili,Z	2673		twic309.pgn	E38
Azmaiparashvili,Z	2673	2000.10.03	D92	1st European Rapid Ch		2000.10.02			75	1/2-1/2	7	Neum BIH		Dreev,A	2676		twic309.pgn	D92
Sokolov,I	2611	2000.10.03	D15	1st European Rapid Ch		2000.10.02			81	0-1	7	Neum BIH		Greenfeld,A	2574		twic309.pgn	D15
Chernin,A	2572	2000.10.03	A07	1st European Rapid Ch		2000.10.02			78	1/2-1/2	7	Neum BIH		Vaganian,R	2623		twic309.pgn	A07
Cvitan,O	2541	2000.10.03	B53	1st European Rapid Ch		2000.10.02			75	0-1	7	Neum BIH		Zelcic,R	2457		twic309.pgn	B53
Dreev,A	2676	2000.10.03	D13	1st European Rapid Ch		2000.10.02			87	0-1	8	Neum BIH		Cvitan,O	2541		twic309.pgn	D13
Greenfeld,A	2574	2000.10.03	B52	1st European Rapid Ch		2000.10.02			52	1-0	8	Neum BIH		Rublevsky,S	2670		twic309.pgn	B52
Azmaiparashvili,Z	2673	2000.10.03	A41	1st European Rapid Ch		2000.10.02			38	1/2-1/2	8	Neum BIH		Sokolov,I	2611		twic309.pgn	A41
Chernin,A	2572	2000.10.03	D11	1st European Rapid Ch		2000.10.02			82	1/2-1/2	9	Neum BIH		Dreev,A	2676		twic309.pgn	D11
Rublevsky,S	2670	2000.10.03	A00	1st European Rapid Ch		2000.10.02			56	1/2-1/2	9	Neum BIH		Azmaiparashvili,Z	2673		twic309.pgn	A00
Sokolov,I	2611	2000.10.03	C82	1st European Rapid Ch		2000.10.02			62	1/2-1/2	9	Neum BIH		Brodsky,M	2532		twic309.pgn	C80
Nikolic,Pr	2657	2000.10.03	E15	1st European Rapid Ch		2000.10.02			42	1/2-1/2	9	Neum BIH		Tregubov,P	2620		twic309.pgn	E15
Rublevsky,S	2670	2000.10.03	D27	1st European Rapid Ch		2000.10.02			20	1/2-1/2	10	Neum BIH		Sokolov,I	2611		twic309.pgn	D27
Tregubov,P	2620	2000.10.03	D31	1st European Rapid Ch		2000.10.02			83	1/2-1/2	10	Neum BIH		Azmaiparashvili,Z	2673		twic309.pgn	D31
Dreev,A	2676	2000.10.03	B19	1st European Rapid Ch		2000.10.02			23	1/2-1/2	10	Neum BIH		Brodsky,M	2532		twic309.pgn	B18
Baklan,V	2599	2000.10.03	E61	1st European Rapid Ch		2000.10.02			82	1/2-1/2	10	Neum BIH		Chernin,A	2572		twic309.pgn	A30
Greenfeld,A	2574	2000.10.03	D50	1st European Rapid Ch		2000.10.02			137	1/2-1/2	10	Neum BIH		Nikolic,Pr	2657		twic309.pgn	D50
Brodsky,M	2532	2000.10.03	A30	1st European Rapid Ch		2000.10.02			21	1/2-1/2	11	Neum BIH		Chernin,A	2572		twic309.pgn	A30
Sokolov,I	2611	2000.10.03	D15	1st European Rapid Ch		2000.10.02			74	1-0	11	Neum BIH		Filippov,V	2593		twic309.pgn	D15
Azmaiparashvili,Z	2673	2000.10.03	B07	1st European Rapid Ch		2000.10.02			123	0-1	11	Neum BIH		Greenfeld,A	2574		twic309.pgn	B00
Nikolic,Pr	2657	2000.10.03	A17	1st European Rapid Ch		2000.10.02			45	1/2-1/2	11	Neum BIH		Huzman,A	2574		twic309.pgn	A17
Cvitan,O	2541	2000.10.03	B90	1st European Rapid Ch		2000.10.02			76	1/2-1/2	11	Neum BIH		Ponomariov,R	2630		twic309.pgn	B90
Dreev,A	2676	2000.10.03	B18	1st European Rapid Ch		2000.10.02			29	1/2-1/2	11	Neum BIH		Rublevsky,S	2670		twic309.pgn	B18
Tkachiev,V	2657	2000.10.04	E63	1st European Blitz Ch		2000.10.04			79	0-1	3	Neum BIH		Bajramovic,H	2223		twic309.pgn	E63
Bajramovic,H	2223	2000.10.04	B07	1st European Blitz Ch		2000.10.04			52	1-0	3	Neum BIH		Tkachiev,V	2657		twic309.pgn	B07
Nikolic,Pr	2657	2000.10.04	D20	1st European Blitz Ch		2000.10.04			78	1-0	4	Neum BIH		Dreev,A	2676		twic309.pgn	D20
Lugovoj,M	2240	2000.10.04	E11	1st European Blitz Ch		2000.10.04			94	1-0	4	Neum BIH		Cvitan,O	2541		twic309.pgn	E00
Cvitan,O	2541	2000.10.04	E92	1st European Blitz Ch		2000.10.04			84	1-0	4	Neum BIH		Lugovoj,M	2240		twic309.pgn	E92
Motylev,A	2574	2000.10.04	E84	1st European Blitz Ch		2000.10.04			60	0-1	5	Neum BIH		Dreev,A	2676		twic309.pgn	E84
Dreev,A	2676	2000.10.04	B18	1st European Blitz Ch		2000.10.04			75	0-1	5	Neum BIH		Motylev,A	2574		twic309.pgn	B18
Nikolic,Pr	2657	2000.10.04	E12	1st European Blitz Ch		2000.10.04			74	1-0	5	Neum BIH		Tkachiev,V	2657		twic309.pgn	E12
Sherbakov,R	2558	2000.10.04	A72	1st European Blitz Ch		2000.10.04			72	1-0	5	Neum BIH		Volkov,S	2554		twic309.pgn	A61
Sokolov,I	2611	2000.10.04	D11	1st European Blitz Ch		2000.10.04			85	1/2-1/2	6	Neum BIH		Sherbakov,R	2558		twic309.pgn	D11
Tkachiev,V	2657	2000.10.04	B07	1st European Blitz Ch		2000.10.04			55	0-1	6	Neum BIH		Dreev,A	2676		twic309.pgn	B07
