Carlsen,M	2845	2019.04.20	A56	GRENKE Chess Classic 2019		2019.04.20			161	0-1	1.1	Karlsruhe/Baden Baden GER		Keymer,Vincent	2516		twic1276.pgn	A56
Caruana,F	2819	2019.04.20	B33	GRENKE Chess Classic 2019		2019.04.20			79	1/2-1/2	1.2	Karlsruhe/Baden Baden GER		Svidler,P	2735		twic1276.pgn	B33
Anand,V	2774	2019.04.20	B12	GRENKE Chess Classic 2019		2019.04.20			38	1/2-1/2	1.3	Karlsruhe/Baden Baden GER		Vachier Lagrave,M	2773		twic1276.pgn	B12
Naiditsch,A	2695	2019.04.20	B90	GRENKE Chess Classic 2019		2019.04.20			81	1/2-1/2	1.4	Karlsruhe/Baden Baden GER		Aronian,L	2763		twic1276.pgn	B90
Vallejo Pons,F	2693	2019.04.20	D02	GRENKE Chess Classic 2019		2019.04.20			48	1/2-1/2	1.5	Karlsruhe/Baden Baden GER		Meier,Geo	2628		twic1276.pgn	D02
Carlsen,M	2845	2019.04.21	C78	GRENKE Chess Classic 2019		2019.04.20			145	0-1	2.1	Karlsruhe/Baden Baden GER		Vallejo Pons,F	2693		twic1276.pgn	C78
Keymer,Vincent	2516	2019.04.21	B90	GRENKE Chess Classic 2019		2019.04.20			84	1-0	2.2	Karlsruhe/Baden Baden GER		Anand,V	2774		twic1276.pgn	B90
Vachier Lagrave,M	2773	2019.04.21	B23	GRENKE Chess Classic 2019		2019.04.20			96	1/2-1/2	2.3	Karlsruhe/Baden Baden GER		Caruana,F	2819		twic1276.pgn	B23
Svidler,P	2735	2019.04.21	C69	GRENKE Chess Classic 2019		2019.04.20			77	0-1	2.4	Karlsruhe/Baden Baden GER		Naiditsch,A	2695		twic1276.pgn	C69
Aronian,L	2763	2019.04.21	B52	GRENKE Chess Classic 2019		2019.04.20			56	1/2-1/2	2.5	Karlsruhe/Baden Baden GER		Meier,Geo	2628		twic1276.pgn	B52
Anand,V	2774	2019.04.22	A22	GRENKE Chess Classic 2019		2019.04.20			125	1/2-1/2	3.1	Karlsruhe/Baden Baden GER		Carlsen,M	2845		twic1276.pgn	A22
Meier,Geo	2628	2019.04.22	C11	GRENKE Chess Classic 2019		2019.04.20			72	1-0	3.2	Karlsruhe/Baden Baden GER		Svidler,P	2735		twic1276.pgn	C11
Caruana,F	2819	2019.04.22	E11	GRENKE Chess Classic 2019		2019.04.20			83	0-1	3.3	Karlsruhe/Baden Baden GER		Keymer,Vincent	2516		twic1276.pgn	E11
Naiditsch,A	2695	2019.04.22	C67	GRENKE Chess Classic 2019		2019.04.20			83	1/2-1/2	3.4	Karlsruhe/Baden Baden GER		Vachier Lagrave,M	2773		twic1276.pgn	C67
Vallejo Pons,F	2693	2019.04.22	C11	GRENKE Chess Classic 2019		2019.04.20			61	1/2-1/2	3.5	Karlsruhe/Baden Baden GER		Aronian,L	2763		twic1276.pgn	C11
Wiley,To	2147	2019.04.18	C01	GRENKE Chess Open 2019		2019.04.18			56	1-0	1.1	Karlsruhe GER		Bacrot,E	2683		twic1276.pgn	C01
Kamsky,G	2676	2019.04.18	B43	GRENKE Chess Open 2019		2019.04.18			117	0-1	1.2	Karlsruhe GER		Gustain,M	2147		twic1276.pgn	B43
Boehme,Markus	2146	2019.04.18	A58	GRENKE Chess Open 2019		2019.04.18			76	1-0	1.3	Karlsruhe GER		Korobov,A	2675		twic1276.pgn	A58
Firouzja,Alireza	2669	2019.04.18	B22	GRENKE Chess Open 2019		2019.04.18			121	0-1	1.4	Karlsruhe GER		Mihajlov,Sv	2145		twic1276.pgn	B22
Dill,Xaver	2145	2019.04.18	A62	GRENKE Chess Open 2019		2019.04.18			48	1-0	1.5	Karlsruhe GER		Kuzubov,Y	2653		twic1276.pgn	A62
Chigaev,M	2634	2019.04.18	E63	GRENKE Chess Open 2019		2019.04.18			117	0-1	1.6	Karlsruhe GER		Parnali,S	2144		twic1276.pgn	E63
Bastian,M	2144	2019.04.18	E92	GRENKE Chess Open 2019		2019.04.18			32	1-0	1.7	Karlsruhe GER		Sarana,A	2630		twic1276.pgn	E92
Fridman,D	2629	2019.04.18	B12	GRENKE Chess Open 2019		2019.04.18			31	0-1	1.8	Karlsruhe GER		Kraemer,St	2144		twic1276.pgn	B12
Wilhelm,Robert	2143	2019.04.18	B46	GRENKE Chess Open 2019		2019.04.18			42	1-0	1.9	Karlsruhe GER		Sethuraman,S	2624		twic1276.pgn	B46
Predojevic,B	2621	2019.04.18	C60	GRENKE Chess Open 2019		2019.04.18			67	0-1	1.10	Karlsruhe GER		Dietz,Florian	2142		twic1276.pgn	C60
Grewenig,J	2140	2019.04.18	B90	GRENKE Chess Open 2019		2019.04.18			63	1-0	1.11	Karlsruhe GER		Esipenko,Andrey	2616		twic1276.pgn	B90
Heimann,An	2616	2019.04.18	A00	GRENKE Chess Open 2019		2019.04.18			59	0-1	1.12	Karlsruhe GER		Korba,R	2140		twic1276.pgn	A00
Stabolewski,A	2140	2019.04.18	A05	GRENKE Chess Open 2019		2019.04.18			70	1-0	1.13	Karlsruhe GER		Banusz,T	2614		twic1276.pgn	A05
Bosiocic,Mari	2613	2019.04.18	C53	GRENKE Chess Open 2019		2019.04.18			71	0-1	1.14	Karlsruhe GER		Schulze,Lara	2139		twic1276.pgn	C53
Weihrauch,Jakob	2138	2019.04.18	C78	GRENKE Chess Open 2019		2019.04.18			46	1-0	1.15	Karlsruhe GER		Tabatabaei,M	2612		twic1276.pgn	C78
Van Wely,L	2612	2019.04.18	B31	GRENKE Chess Open 2019		2019.04.18			91	0-1	1.16	Karlsruhe GER		Elgersma,Simon	2137		twic1276.pgn	B31
Colbow,Collin	2137	2019.04.18	E42	GRENKE Chess Open 2019		2019.04.18			52	1-0	1.17	Karlsruhe GER		Bluebaum,M	2610		twic1276.pgn	E42
Svane,R	2605	2019.04.18	B10	GRENKE Chess Open 2019		2019.04.18			101	0-1	1.18	Karlsruhe GER		Hartmann,Martin	2137		twic1276.pgn	B10
Koellner,Christof	2137	2019.04.18	A07	GRENKE Chess Open 2019		2019.04.18			116	1-0	1.19	Karlsruhe GER		Bogner,S	2603		twic1276.pgn	A05
Ter Sahakyan,S	2601	2019.04.18	E32	GRENKE Chess Open 2019		2019.04.18			69	0-1	1.20	Karlsruhe GER		Pfatteicher,Lukas	2137		twic1276.pgn	E32
Post,Hugo	2136	2019.04.18	B53	GRENKE Chess Open 2019		2019.04.18			62	1-0	1.21	Karlsruhe GER		Moussard,J	2598		twic1276.pgn	B53
Papp,Ga	2598	2019.04.18		GRENKE Chess Open 2019		2019.04.18			0	0-1	1.22	Karlsruhe GER		Reck,M	2135		twic1276.pgn	?
Thomaschke,D	2135	2019.04.18	C55	GRENKE Chess Open 2019		2019.04.18			56	1-0	1.23	Karlsruhe GER		Van Foreest,Jorden	2598		twic1276.pgn	C55
Indjic,A	2592	2019.04.18	B43	GRENKE Chess Open 2019		2019.04.18			49	0-1	1.24	Karlsruhe GER		Jazdanovs,Aleksandrs	2134		twic1276.pgn	B43
Schormann,C	2134	2019.04.18	D10	GRENKE Chess Open 2019		2019.04.18			70	1-0	1.25	Karlsruhe GER		Kozul,Z	2589		twic1276.pgn	D10
Sumets,A	2588	2019.04.18	B41	GRENKE Chess Open 2019		2019.04.18			62	1-0	1.26	Karlsruhe GER		Zahn,B	2133		twic1276.pgn	B41
Doll,S	2132	2019.04.18	C77	GRENKE Chess Open 2019		2019.04.18			76	1-0	1.27	Karlsruhe GER		Bernadskiy,V	2587		twic1276.pgn	C77
Donchenko,Alexa	2584	2019.04.18	B51	GRENKE Chess Open 2019		2019.04.18			81	0-1	1.28	Karlsruhe GER		Maltezeanu,Stefan	2132		twic1276.pgn	B51
Siddharth,Jagadeesh	2132	2019.04.18	E51	GRENKE Chess Open 2019		2019.04.18			77	0-1	1.29	Karlsruhe GER		Buhmann,R	2581		twic1276.pgn	E51
