Grischuk,A	2781	2015.06.16	B31	3rd Norway Chess 2015		2015.06.16			82	1-0	1.1	Stavanger NOR		Giri,A	2773		twic1076.pgn	B31
Topalov,V	2798	2015.06.16	D43	3rd Norway Chess 2015		2015.06.16			119	0-1	1.2	Stavanger NOR		Carlsen,M	2876		twic1076.pgn	D43
Caruana,F	2805	2015.06.16	C65	3rd Norway Chess 2015		2015.06.16			73	1/2-1/2	1.3	Stavanger NOR		Anand,V	2804		twic1076.pgn	C65
Hammer,J	2677	2015.06.16	A20	3rd Norway Chess 2015		2015.06.16			104	1-0	1.4	Stavanger NOR		Nakamura,Hi	2802		twic1076.pgn	A20
Aronian,L	2780	2015.06.16	D38	3rd Norway Chess 2015		2015.06.16			116	1-0	1.5	Stavanger NOR		Vachier Lagrave,M	2723		twic1076.pgn	D38
Aronian,L	2780	2015.06.17	A22	3rd Norway Chess 2015		2015.06.16			59	1/2-1/2	2.1	Stavanger NOR		Grischuk,A	2781		twic1076.pgn	A22
Anand,V	2804	2015.06.17	A14	3rd Norway Chess 2015		2015.06.16			104	1/2-1/2	2.2	Stavanger NOR		Giri,A	2773		twic1076.pgn	A14
Nakamura,Hi	2802	2015.06.17	C78	3rd Norway Chess 2015		2015.06.16			103	1/2-1/2	2.3	Stavanger NOR		Topalov,V	2798		twic1076.pgn	C78
Carlsen,M	2876	2015.06.17	C67	3rd Norway Chess 2015		2015.06.16			88	1-0	2.4	Stavanger NOR		Caruana,F	2805		twic1076.pgn	C67
Vachier Lagrave,M	2723	2015.06.17	A29	3rd Norway Chess 2015		2015.06.16			120	1/2-1/2	2.5	Stavanger NOR		Hammer,J	2677		twic1076.pgn	A29
Caruana,F	2805	2015.06.18	A35	3rd Norway Chess 2015		2015.06.16			110	1-0	3.1	Stavanger NOR		Nakamura,Hi	2802		twic1076.pgn	A35
Topalov,V	2798	2015.06.18	D47	3rd Norway Chess 2015		2015.06.16			55	0-1	3.2	Stavanger NOR		Vachier Lagrave,M	2723		twic1076.pgn	D47
Giri,A	2773	2015.06.18	B51	3rd Norway Chess 2015		2015.06.16			151	1/2-1/2	3.3	Stavanger NOR		Carlsen,M	2876		twic1076.pgn	B51
Hammer,J	2677	2015.06.18	A29	3rd Norway Chess 2015		2015.06.16			113	1/2-1/2	3.4	Stavanger NOR		Aronian,L	2780		twic1076.pgn	A29
Grischuk,A	2781	2015.06.18	B33	3rd Norway Chess 2015		2015.06.16			80	1/2-1/2	3.5	Stavanger NOR		Anand,V	2804		twic1076.pgn	B33
Aronian,L	2780	2015.06.19	D38	3rd Norway Chess 2015		2015.06.16			114	1-0	4.1	Stavanger NOR		Topalov,V	2798		twic1076.pgn	D38
Nakamura,Hi	2802	2015.06.19	C78	3rd Norway Chess 2015		2015.06.16			116	1/2-1/2	4.2	Stavanger NOR		Giri,A	2773		twic1076.pgn	C78
Carlsen,M	2876	2015.06.19	C84	3rd Norway Chess 2015		2015.06.16			92	1-0	4.3	Stavanger NOR		Anand,V	2804		twic1076.pgn	C84
