Harikrishna,P	2632	2005.01.31	C87	It		2005.01.30			74	1/2-1/2	2	Bermuda BER		Volokitin,And	2685		twic535.pgn	C87
Macieja,B	2618	2005.01.31	C43	It		2005.01.30			59	1/2-1/2	2	Bermuda BER		Dominguez,L	2661		twic535.pgn	C43
Vescovi,G	2645	2005.01.31	E05	It		2005.01.30			43	1/2-1/2	2	Bermuda BER		Gelfand,B	2696		twic535.pgn	E06
Volokitin,And	2685	2005.02.01	A20	It		2005.01.30			47	0-1	3	Bermuda BER		Macieja,B	2618		twic535.pgn	A20
Dominguez,L	2661	2005.02.01	D14	It		2005.01.30			108	1-0	3	Bermuda BER		Vescovi,G	2645		twic535.pgn	D14
Gelfand,B	2696	2005.02.01	D12	It		2005.01.30			73	1/2-1/2	3	Bermuda BER		Harikrishna,P	2632		twic535.pgn	D12
Dominguez,L	2661	2005.02.02	D45	It		2005.01.30			38	1/2-1/2	4	Bermuda BER		Gelfand,B	2696		twic535.pgn	D45
Volokitin,And	2685	2005.02.02	B40	It		2005.01.30			86	1-0	4	Bermuda BER		Vescovi,G	2645		twic535.pgn	B40
Macieja,B	2618	2005.02.02	E39	It		2005.01.30			72	1-0	4	Bermuda BER		Harikrishna,P	2632		twic535.pgn	E39
Gelfand,B	2696	2005.02.03	B93	It		2005.01.30			84	1/2-1/2	5	Bermuda BER		Volokitin,And	2685		twic535.pgn	B93
Harikrishna,P	2632	2005.02.03	C91	It		2005.01.30			64	1/2-1/2	5	Bermuda BER		Dominguez,L	2661		twic535.pgn	C91
Vescovi,G	2645	2005.02.03	A14	It		2005.01.30			100	1-0	5	Bermuda BER		Macieja,B	2618		twic535.pgn	A14
Macieja,B	2618	2005.02.05	E11	It		2005.01.30			31	1/2-1/2	6	Bermuda BER		Gelfand,B	2696		twic535.pgn	E11
Dominguez,L	2661	2005.02.05	C42	It		2005.01.30			93	0-1	6	Bermuda BER		Volokitin,And	2685		twic535.pgn	C42
Vescovi,G	2645	2005.02.05	E32	It		2005.01.30			82	1/2-1/2	6	Bermuda BER		Harikrishna,P	2632		twic535.pgn	E32
Volokitin,And	2685	2005.02.06	E94	It		2005.01.30			87	1/2-1/2	7	Bermuda BER		Harikrishna,P	2632		twic535.pgn	E94
Gelfand,B	2696	2005.02.06	B90	It		2005.01.30			32	1/2-1/2	7	Bermuda BER		Vescovi,G	2645		twic535.pgn	B90
Dominguez,L	2661	2005.02.06	A11	It		2005.01.30			54	1-0	7	Bermuda BER		Macieja,B	2618		twic535.pgn	B10
Al Tamimi,H	2210	2005.01.30	B14	Gibraltar Masters		2005.01.25			85	1/2-1/2	6	Caleta ENG		Postny,E	2557		twic535.pgn	B14
Speelman,J	2548	2005.01.30	A15	Gibraltar Masters		2005.01.25			52	1/2-1/2	6	Caleta ENG		Jasim,A	2340		twic535.pgn	A05
Wells,P	2519	2005.01.30	C92	Gibraltar Masters		2005.01.25			27	1/2-1/2	6	Caleta ENG		Lahno,Kateri	2454		twic535.pgn	C92
Al Sayed,Mohamad	2463	2005.01.30	A40	Gibraltar Masters		2005.01.25			91	1/2-1/2	6	Caleta ENG		Kristjansson,St	2438		twic535.pgn	A04
Rendle,T	2370	2005.01.30	A88	Gibraltar Masters		2005.01.25			55	1/2-1/2	6	Caleta ENG		Tregubov,P	2629		twic535.pgn	A88
Areshchenko,A	2570	2005.01.30	B96	Gibraltar Masters		2005.01.25			139	0-1	6	Caleta ENG		Dworakowska,J	2395		twic535.pgn	B96
Hamdouchi,H	2555	2005.01.30	D52	Gibraltar Masters		2005.01.25			157	0-1	6	Caleta ENG		Bellon Lopez,JuM	2428		twic535.pgn	D52
Pert,R	2417	2005.01.30	B38	Gibraltar Masters		2005.01.25			33	1/2-1/2	6	Caleta ENG		Erenburg,S	2551		twic535.pgn	B38
Estremera Panos,S	2384	2005.01.30	A46	Gibraltar Masters		2005.01.25			115	0-1	6	Caleta ENG		Hebden,M	2521		twic535.pgn	A46
Thorfinnsson,Bj	2356	2005.01.30	C78	Gibraltar Masters		2005.01.25			76	1-0	6	Caleta ENG		Del Rio Angelis,S	2502		twic535.pgn	C78
Pert,N	2501	2005.01.30	D40	Gibraltar Masters		2005.01.25			85	1/2-1/2	6	Caleta ENG		Hassan,Ab	2357		twic535.pgn	D05
Kekki,P	2362	2005.01.30	D80	Gibraltar Masters		2005.01.25			70	1/2-1/2	6	Caleta ENG		Williams,Si	2487		twic535.pgn	D80
Ward,C	2485	2005.01.30	E43	Gibraltar Masters		2005.01.25			53	0-1	6	Caleta ENG		Mortazavi,A	2371		twic535.pgn	E43
Quillan,G	2322	2005.01.30	C06	Gibraltar Masters		2005.01.25			40	1-0	6	Caleta ENG		Gormally,D	2472		twic535.pgn	C05
Howell,D	2348	2005.01.30	D98	Gibraltar Masters		2005.01.25			85	1/2-1/2	6	Caleta ENG		Cmilyte,V	2468		twic535.pgn	D97
Calzetta,M	2281	2005.01.30	B50	Gibraltar Masters		2005.01.25			102	1/2-1/2	6	Caleta ENG		Arakhamia,K	2454		twic535.pgn	B50
