Vachier Lagrave,M	2804	2017.09.19	D85	FIDE World Cup 2017		2017.09.03			62	1/2-1/2	6.1	Tbilisi GEO		Aronian,L	2802		twic1194.pgn	D85
Ding Liren	2771	2017.09.19	C50	FIDE World Cup 2017		2017.09.03			93	1/2-1/2	6.1	Tbilisi GEO		So,W	2792		twic1194.pgn	C53
Aronian,L	2802	2017.09.20	C84	FIDE World Cup 2017		2017.09.03			36	1/2-1/2	6.2	Tbilisi GEO		Vachier Lagrave,M	2804		twic1194.pgn	C84
So,W	2792	2017.09.20	E06	FIDE World Cup 2017		2017.09.03			115	1/2-1/2	6.2	Tbilisi GEO		Ding Liren	2771		twic1194.pgn	E06
Aronian,L	2802	2017.09.21	C84	FIDE World Cup 2017		2017.09.03			126	1-0	6.3	Tbilisi GEO		Vachier Lagrave,M	2804		twic1194.pgn	C84
Ding Liren	2771	2017.09.21	A13	FIDE World Cup 2017		2017.09.03			134	1/2-1/2	6.3	Tbilisi GEO		So,W	2792		twic1194.pgn	A13
Vachier Lagrave,M	2804	2017.09.21	E60	FIDE World Cup 2017		2017.09.03			50	1-0	6.4	Tbilisi GEO		Aronian,L	2802		twic1194.pgn	E60
So,W	2792	2017.09.21	D39	FIDE World Cup 2017		2017.09.03			16	1/2-1/2	6.4	Tbilisi GEO		Ding Liren	2771		twic1194.pgn	D39
Vachier Lagrave,M	2804	2017.09.21	D97	FIDE World Cup 2017		2017.09.03			117	1/2-1/2	6.5	Tbilisi GEO		Aronian,L	2802		twic1194.pgn	D97
Ding Liren	2771	2017.09.21	D78	FIDE World Cup 2017		2017.09.03			137	0-1	6.5	Tbilisi GEO		So,W	2792		twic1194.pgn	D78
Aronian,L	2802	2017.09.21	C84	FIDE World Cup 2017		2017.09.03			70	1/2-1/2	6.6	Tbilisi GEO		Vachier Lagrave,M	2804		twic1194.pgn	C84
So,W	2792	2017.09.21	A60	FIDE World Cup 2017		2017.09.03			91	1/2-1/2	6.6	Tbilisi GEO		Ding Liren	2771		twic1194.pgn	A60
Vachier Lagrave,M	2804	2017.09.21	A48	FIDE World Cup 2017		2017.09.03			109	1/2-1/2	6.7	Tbilisi GEO		Aronian,L	2802		twic1194.pgn	A48
Aronian,L	2802	2017.09.21	C84	FIDE World Cup 2017		2017.09.03			80	1/2-1/2	6.8	Tbilisi GEO		Vachier Lagrave,M	2804		twic1194.pgn	C84
Vachier Lagrave,M	2804	2017.09.21	A48	FIDE World Cup 2017		2017.09.03			154	1-0	6.9	Tbilisi GEO		Aronian,L	2802		twic1194.pgn	A48
Ding Liren	2771	2017.09.23	A18	FIDE World Cup 2017		2017.09.03			69	1/2-1/2	7.1	Tbilisi GEO		Aronian,L	2802		twic1194.pgn	A18
Aronian,L	2802	2017.09.24	E06	FIDE World Cup 2017		2017.09.03			148	1/2-1/2	7.2	Tbilisi GEO		Ding Liren	2771		twic1194.pgn	E06
Ding Liren	2771	2017.09.25	A13	FIDE World Cup 2017		2017.09.03			60	1/2-1/2	7.3	Tbilisi GEO		Aronian,L	2802		twic1194.pgn	A13
Birkisson,Bardur Orn	2164	2017.09.23	E50	chess.com IoM Masters		2017.09.23			72	1-0	1.1	Douglas ENG		Carlsen,M	2827		twic1194.pgn	E50
Kramnik,V	2803	2017.09.23	D36	chess.com IoM Masters		2017.09.23			132	1-0	1.2	Douglas ENG		Caruana,F	2799		twic1194.pgn	D36
Esserman,M	2453	2017.09.23	B92	chess.com IoM Masters		2017.09.23			90	1-0	1.3	Douglas ENG		Anand,V	2794		twic1194.pgn	B92
Nakamura,Hi	2781	2017.09.23	B32	chess.com IoM Masters		2017.09.23			129	0-1	1.4	Douglas ENG		Neelotpal,D	2448		twic1194.pgn	B32
Bianco,V	2086	2017.09.23	B12	chess.com IoM Masters		2017.09.23			62	1-0	1.5	Douglas ENG		Adams,Mi	2738		twic1194.pgn	B12
Gelfand,B	2737	2017.09.23	B35	chess.com IoM Masters		2017.09.23			65	1/2-1/2	1.6	Douglas ENG		Adhiban,Baskaran	2670		twic1194.pgn	B35
Arkell,K	2415	2017.09.23	D15	chess.com IoM Masters		2017.09.23			86	1-0	1.7	Douglas ENG		Eljanov,P	2734		twic1194.pgn	D15
Vallejo Pons,F	2716	2017.09.23	A04	chess.com IoM Masters		2017.09.23			103	0-1	1.8	Douglas ENG		Aravindh,Chithambaram VR.	2573		twic1194.pgn	A04
L'Ami,E	2611	2017.09.23	A09	chess.com IoM Masters		2017.09.23			59	1/2-1/2	1.9	Douglas ENG		Almasi,Z	2707		twic1194.pgn	A09
Naiditsch,A	2702	2017.09.23	E70	chess.com IoM Masters		2017.09.23			135	1/2-1/2	1.10	Douglas ENG		Brunello,S	2555		twic1194.pgn	E70
Svane,R	2595	2017.09.23	C11	chess.com IoM Masters		2017.09.23			87	1/2-1/2	1.11	Douglas ENG		Vidit,S	2702		twic1194.pgn	C11
Howell,D	2701	2017.09.23	A37	chess.com IoM Masters		2017.09.23			61	0-1	1.12	Douglas ENG		Hemant,S2	2342		twic1194.pgn	A37
Osmanodja,F	2245	2017.09.23	D02	chess.com IoM Masters		2017.09.23			80	1-0	1.13	Douglas ENG		Short,N	2698		twic1194.pgn	D02
Rodshtein,M	2695	2017.09.23	B21	chess.com IoM Masters		2017.09.23			146	1/2-1/2	1.14	Douglas ENG		Harari,Z	2027		twic1194.pgn	B21
Yoo,Christopher Woojin	2254	2017.09.23	C78	chess.com IoM Masters		2017.09.23			58	1-0	1.15	Douglas ENG		Sutovsky,E	2683		twic1194.pgn	C78
Leko,P	2679	2017.09.23	C50	chess.com IoM Masters		2017.09.23			71	0-1	1.16	Douglas ENG		Daulyte,D	2404		twic1194.pgn	C50
Rudolf,An	2286	2017.09.23	D31	chess.com IoM Masters		2017.09.23			70	1-0	1.17	Douglas ENG		Kasimdzhanov,R	2676		twic1194.pgn	D31
Rapport,R	2675	2017.09.23	A05	chess.com IoM Masters		2017.09.23			76	1/2-1/2	1.18	Douglas ENG		Timman,J	2573		twic1194.pgn	A05
Harsha,B	2394	2017.09.23	B90	chess.com IoM Masters		2017.09.23			83	1/2-1/2	1.19	Douglas ENG		Movsesian,S	2671		twic1194.pgn	B90
Hou Yifan	2670	2017.09.23	B81	chess.com IoM Masters		2017.09.23			145	1/2-1/2	1.20	Douglas ENG		Kosteniuk,A	2552		twic1194.pgn	B81
Brown,Michael William	2499	2017.09.23	C45	chess.com IoM Masters		2017.09.23			70	1/2-1/2	1.21	Douglas ENG		Jones,G	2668		twic1194.pgn	C45
Riazantsev,A	2666	2017.09.23	D45	chess.com IoM Masters		2017.09.23			66	1/2-1/2	1.22	Douglas ENG		Wagner,De	2564		twic1194.pgn	D45
Nihal,Sarin	2483	2017.09.23	E15	chess.com IoM Masters		2017.09.23			62	1/2-1/2	1.23	Douglas ENG		Akobian,V	2662		twic1194.pgn	E15
Fressinet,L	2657	2017.09.23	A40	chess.com IoM Masters		2017.09.23			77	0-1	1.24	Douglas ENG		Lorscheid,G	2192		twic1194.pgn	A40
Hopson,Kevin Mike	1929	2017.09.23	A03	chess.com IoM Masters		2017.09.23			64	1-0	1.25	Douglas ENG		Granda Zuniga,J	2653		twic1194.pgn	A03
Grandelius,N	2653	2017.09.23	A13	chess.com IoM Masters		2017.09.23			85	0-1	1.26	Douglas ENG		Coathup,R	2125		twic1194.pgn	A13
Huschenbeth,N	2596	2017.09.23	D20	chess.com IoM Masters		2017.09.23			74	1-0	1.27	Douglas ENG		Sargissian,G	2652		twic1194.pgn	D20
Xiong,Jeffery	2633	2017.09.23	B23	chess.com IoM Masters		2017.09.23			53	0-1	1.28	Douglas ENG		Acosta,M USA	1988		twic1194.pgn	B23
Birkisson,Bjorn Holm	2023	2017.09.23	B76	chess.com IoM Masters		2017.09.23			56	1-0	1.29	Douglas ENG		Shirov,A	2630		twic1194.pgn	B76
Bok,B	2620	2017.09.23	A04	chess.com IoM Masters		2017.09.23			119	0-1	1.30	Douglas ENG		Kavinda,A	2099		twic1194.pgn	A04
Donchenko,Alexa	2559	2017.09.23	A05	chess.com IoM Masters		2017.09.23			72	1-0	1.31	Douglas ENG		Sethuraman,S	2617		twic1194.pgn	A05
Sokolov,Ivan	2603	2017.09.23	E32	chess.com IoM Masters		2017.09.23			98	1-0	1.32	Douglas ENG		L'Ami,Alina	2286		twic1194.pgn	E32
Wallace,JP	2413	2017.09.23	C50	chess.com IoM Masters		2017.09.23			91	0-1	1.33	Douglas ENG		Bogner,S	2599		twic1194.pgn	C50
Bindrich,F	2598	2017.09.23	D37	chess.com IoM Masters		2017.09.23			117	0-1	1.34	Douglas ENG		Kavutskiy,K	2390		twic1194.pgn	D37
Krishna,CRG	2367	2017.09.23	D12	chess.com IoM Masters		2017.09.23			91	0-1	1.35	Douglas ENG		Tregubov,P	2589		twic1194.pgn	D12
Tari,A	2588	2017.09.23	A20	chess.com IoM Masters		2017.09.23			39	0-1	1.36	Douglas ENG		Mueller,Philipp2	2220		twic1194.pgn	A20
Balint,Vi	2281	2017.09.23	A81	chess.com IoM Masters		2017.09.23			78	1-0	1.37	Douglas ENG		Ju Wenjun	2574		twic1194.pgn	A81
Narayanan,SL	2568	2017.09.23	E53	chess.com IoM Masters		2017.09.23			25	0-1	1.38	Douglas ENG		Ragnarsson,Dagur	2340		twic1194.pgn	E53
