Wojtaszek,R	2741	2015.09.22	A18	FIDE World Cup 2015		2015.09.11			52	1-0	4.3	Baku AZE		Giri,A	2793		twic1090.pgn	A18
Andreikin,D	2720	2015.09.22	A11	FIDE World Cup 2015		2015.09.11			106	1-0	4.3	Baku AZE		Karjakin,Sergey	2762		twic1090.pgn	A11
Eljanov,P	2717	2015.09.22	A13	FIDE World Cup 2015		2015.09.11			126	1/2-1/2	4.3	Baku AZE		Jakovenko,D	2748		twic1090.pgn	A13
Ding Liren	2782	2015.09.22	C84	FIDE World Cup 2015		2015.09.11			66	1/2-1/2	4.3	Baku AZE		Wei Yi	2734		twic1090.pgn	C84
Giri,A	2793	2015.09.22	D10	FIDE World Cup 2015		2015.09.11			81	0-1	4.4	Baku AZE		Wojtaszek,R	2741		twic1090.pgn	D10
Karjakin,Sergey	2762	2015.09.22	A45	FIDE World Cup 2015		2015.09.11			69	1/2-1/2	4.4	Baku AZE		Andreikin,D	2720		twic1090.pgn	A45
Jakovenko,D	2748	2015.09.22	E15	FIDE World Cup 2015		2015.09.11			96	1-0	4.4	Baku AZE		Eljanov,P	2717		twic1090.pgn	E15
Wei Yi	2734	2015.09.22	A34	FIDE World Cup 2015		2015.09.11			93	1/2-1/2	4.4	Baku AZE		Ding Liren	2782		twic1090.pgn	A34
Ding Liren	2782	2015.09.22	C24	FIDE World Cup 2015		2015.09.11			61	1/2-1/2	4.5	Baku AZE		Wei Yi	2734		twic1090.pgn	C24
Wei Yi	2734	2015.09.22	A34	FIDE World Cup 2015		2015.09.11			127	0-1	4.6	Baku AZE		Ding Liren	2782		twic1090.pgn	A34
Wei Yi	2734	2015.09.25	D42	FIDE World Cup 2015		2015.09.11			41	1/2-1/2	5.1	Baku AZE		Svidler,P	2727		twic1090.pgn	D42
Nakamura,Hi	2814	2015.09.25	E06	FIDE World Cup 2015		2015.09.11			114	1-0	5.1	Baku AZE		Eljanov,P	2717		twic1090.pgn	E06
Karjakin,Sergey	2762	2015.09.25	E21	FIDE World Cup 2015		2015.09.11			175	1/2-1/2	5.1	Baku AZE		Mamedyarov,S	2736		twic1090.pgn	E12
