Nyazi,N	2213	2018.04.12	B12	2nd Sharjah Masters 2018		2018.04.12			59	1-0	1.1	Sharjah UAE		Wang Hao	2707		twic1223.pgn	B12
Kryvoruchko,Y	2703	2018.04.12	E12	2nd Sharjah Masters 2018		2018.04.12			77	0-1	1.2	Sharjah UAE		Aditya,Mittal	2212		twic1223.pgn	E12
Zhu,Yilun	2195	2018.04.12	A08	2nd Sharjah Masters 2018		2018.04.12			72	1-0	1.3	Sharjah UAE		Artemiev,V	2701		twic1223.pgn	A08
Naiditsch,A	2701	2018.04.12	E77	2nd Sharjah Masters 2018		2018.04.12			62	0-1	1.4	Sharjah UAE		Abou el Zein,E	2156		twic1223.pgn	E77
Ma,Lin	2156	2018.04.12	B20	2nd Sharjah Masters 2018		2018.04.12			90	1/2-1/2	1.5	Sharjah UAE		Amin,B	2700		twic1223.pgn	B20
Eljanov,P	2700	2018.04.12	E12	2nd Sharjah Masters 2018		2018.04.12			85	0-1	1.6	Sharjah UAE		Bhambure,S	2155		twic1223.pgn	E12
Sultan,I	2141	2018.04.12	C11	2nd Sharjah Masters 2018		2018.04.12			46	1-0	1.7	Sharjah UAE		Inarkiev,E	2680		twic1223.pgn	C11
Kravtsiv,M	2680	2018.04.12	A45	2nd Sharjah Masters 2018		2018.04.12			79	0-1	1.8	Sharjah UAE		Ajay,Karthikeyan	2127		twic1223.pgn	A45
Nikhil,Magizhnan	2105	2018.04.12	A14	2nd Sharjah Masters 2018		2018.04.12			90	1-0	1.9	Sharjah UAE		Jones,G	2675		twic1223.pgn	A14
Kuzubov,Y	2663	2018.04.12	B00	2nd Sharjah Masters 2018		2018.04.12			0	1-0	1.10	Sharjah UAE		Maroroa,S	2102		twic1223.pgn	B00
Al Hosani,Omran	2101	2018.04.12	A15	2nd Sharjah Masters 2018		2018.04.12			80	1-0	1.11	Sharjah UAE		Adhiban,Baskaran	2661		twic1223.pgn	A15
Safarli,E	2653	2018.04.12	A28	2nd Sharjah Masters 2018		2018.04.12			101	0-1	1.12	Sharjah UAE		Jishitha,D	2083		twic1223.pgn	A28
Rakhmanov,Ale	2652	2018.04.12	B01	2nd Sharjah Masters 2018		2018.04.12			59	1/2-1/2	1.14	Sharjah UAE		Song,Yuxin	2075		twic1223.pgn	B01
Al-Zaabi,Sultan	2061	2018.04.12	A45	2nd Sharjah Masters 2018		2018.04.12			126	1-0	1.15	Sharjah UAE		Kovalev,Vl	2648		twic1223.pgn	A45
Mareco,S	2645	2018.04.12	B53	2nd Sharjah Masters 2018		2018.04.12			94	1/2-1/2	1.16	Sharjah UAE		Asmar,Elie	2060		twic1223.pgn	B53
Balasubramaniam,H	2060	2018.04.12	B00	2nd Sharjah Masters 2018		2018.04.12			96	1-0	1.17	Sharjah UAE		Sethuraman,S	2631		twic1223.pgn	B00
Adly,A	2626	2018.04.12	B67	2nd Sharjah Masters 2018		2018.04.12			101	0-1	1.18	Sharjah UAE		Mullick,Raahil	2053		twic1223.pgn	B67
Maghsoodloo,Parham	2615	2018.04.12	A15	2nd Sharjah Masters 2018		2018.04.12			61	0-1	1.20	Sharjah UAE		Sun,Chao	2041		twic1223.pgn	A15
Gagare,Shal	2039	2018.04.12	C07	2nd Sharjah Masters 2018		2018.04.12			84	1-0	1.21	Sharjah UAE		Jumabayev,R	2612		twic1223.pgn	C07
Firouzja,Alireza	2572	2018.04.12	A20	2nd Sharjah Masters 2018		2018.04.12			49	0-1	1.24	Sharjah UAE		Krithigga,K	2003		twic1223.pgn	A20
Bharath,Subramaniyam H	1997	2018.04.12	B43	2nd Sharjah Masters 2018		2018.04.12			112	1-0	1.25	Sharjah UAE		Narayanan,SL	2568		twic1223.pgn	B43
Petrosyan,M	2560	2018.04.12	B43	2nd Sharjah Masters 2018		2018.04.12			75	0-1	1.26	Sharjah UAE		Ahmed,Fareed	1989		twic1223.pgn	B43
Kakulidis,Ellen	1975	2018.04.12	D58	2nd Sharjah Masters 2018		2018.04.12			78	1-0	1.27	Sharjah UAE		Abdusattorov,Nodirbek	2540		twic1223.pgn	D58
Puranik,A	2520	2018.04.12	C55	2nd Sharjah Masters 2018		2018.04.12			69	0-1	1.28	Sharjah UAE		Salim,Mohammed Salim Al Amri	1970		twic1223.pgn	C55
