Bareev,E	2679	1999.05.25	C00	SuperGM It					69	1/2-1/2	8	Sarajevo BIH		Adams,Mi	2716		twic238.pgn	C00
Topalov,V	2700	1999.05.25	B90	SuperGM It					117	1/2-1/2	8	Sarajevo BIH		Leko,P	2694		twic238.pgn	B90
Short,N	2697	1999.05.25	B80	SuperGM It					82	1-0	8	Sarajevo BIH		Morozevich,A	2723		twic238.pgn	B90
Sokolov,I	2624	1999.05.25	C67	SuperGM It					106	1-0	8	Sarajevo BIH		Shirov,A	2726		twic238.pgn	C67
Kasparov,G	2812	1999.05.25	D97	SuperGM It					119	0-1	8	Sarajevo BIH		Timman,J	2670		twic238.pgn	D97
Shirov,A	2726	1999.05.26	D97	SuperGM It					70	1/2-1/2	9	Sarajevo BIH		Bareev,E	2679		twic238.pgn	D97
Adams,Mi	2716	1999.05.26	C45	SuperGM It					60	1-0	9	Sarajevo BIH		Kasparov,G	2812		twic238.pgn	C45
Timman,J	2670	1999.05.26	C42	SuperGM It					36	1/2-1/2	9	Sarajevo BIH		Short,N	2697		twic238.pgn	C42
Leko,P	2694	1999.05.26	D85	SuperGM It					51	1/2-1/2	9	Sarajevo BIH		Sokolov,I	2624		twic238.pgn	D85
Morozevich,A	2723	1999.05.26	C11	SuperGM It					61	0-1	9	Sarajevo BIH		Topalov,V	2700		twic238.pgn	C11
Cifuentes Parada,R	2529	1999.05.29	D43	ch-NED					89	0-1	1	Rotterdam NED		Janssen,R	2445		twic238.pgn	D43
Reinderman,D	2541	1999.05.29	B37	ch-NED					129	0-1	1	Rotterdam NED		Sokolov,I	2624		twic238.pgn	E91
Van Wely,L	2632	1999.05.29	B22	ch-NED					79	0-1	1	Rotterdam NED		Van den Doel,E	2535		twic238.pgn	B22
Van der Wiel,J	2526	1999.05.29	D15	ch-NED					76	0-1	1	Rotterdam NED		Peng Zhaoqin	2452		twic238.pgn	D15
Van der Sterren,P	2535	1999.05.29	D55	ch-NED					76	1-0	1	Rotterdam NED		Nikolic,Pr	2633		twic238.pgn	D55
Nijboer,F	2515	1999.05.29	E99	ch-NED					80	1-0	1	Rotterdam NED		Piket,Je	2619		twic238.pgn	E98
Van der Wiel,J	2526	1999.05.30	B08	ch-NED					44	1-0	2	Rotterdam NED		Nijboer,F	2515		twic238.pgn	B06
Van den Doel,E	2535	1999.05.30	E12	ch-NED					64	1/2-1/2	2	Rotterdam NED		Piket,Je	2619		twic238.pgn	E12
