Duda,J	2729	2021.03.30	B90	European Online CC Final		2021.03.30			51	0-1	1.1	Tornelo INT		Van Foreest,Jorden	2701	Clichy Echecs 92	twic1378.pgn	B90
Maghsoodloo,Parham	2676	2021.03.30	D37	European Online CC Final		2021.03.30			61	0-1	1.1	Tornelo INT		Moranda,W	2618	Poland Hussars	twic1378.pgn	D37
Socko,B	2618	2021.03.30	B14	European Online CC Final		2021.03.30			92	1-0	1.1	Tornelo INT		Amin,B	2695	Clichy Echecs 92	twic1378.pgn	B14
Van Wely,L	2620	2021.03.30	B90	European Online CC Final		2021.03.30			131	0-1	1.1	Tornelo INT		Tomczak,J	2610	Poland Hussars	twic1378.pgn	B90
Guseinov,G	2665	2021.03.30	E94	European Online CC Final		2021.03.30			82	1/2-1/2	1.2	Tornelo INT		Goryachkina,A	2593	Cercle d'Echecs de Monte-Carlo	twic1378.pgn	E94
Cramling,P	2459	2021.03.30	B00	European Online CC Final		2021.03.30			0	1-0	1.2	Tornelo INT		Abasov,N	2664	Odlar Yurdu	twic1378.pgn	B00
Durarbayli,V	2606	2021.03.30	A46	European Online CC Final		2021.03.30			81	1/2-1/2	1.2	Tornelo INT		Paehtz,E	2467	Cercle d'Echecs de Monte-Carlo	twic1378.pgn	A46
Socko,M	2421	2021.03.30	C05	European Online CC Final		2021.03.30			70	1-0	1.2	Tornelo INT		Safarli,E	2598	Odlar Yurdu	twic1378.pgn	C05
Vidit,S	2726	2021.03.30	A07	European Online CC Final		2021.03.30			65	0-1	1.3	Tornelo INT		Fedoseev,Vl3	2687	Mednyi Vsadnik	twic1378.pgn	A05
Matlakov,M	2688	2021.03.30	D45	European Online CC Final		2021.03.30			93	0-1	1.3	Tornelo INT		Wojtaszek,R	2694	Novy Bor	twic1378.pgn	D45
Navara,D	2697	2021.03.30	D73	European Online CC Final		2021.03.30			63	1/2-1/2	1.3	Tornelo INT		Vitiugov,N	2715	Mednyi Vsadnik	twic1378.pgn	A07
Esipenko,Andrey	2701	2021.03.30	C42	European Online CC Final		2021.03.30			73	1/2-1/2	1.3	Tornelo INT		Sasikiran,K	2647	Novy Bor	twic1378.pgn	C42
Adams,Mi	2716	2021.03.30	D05	European Online CC Final		2021.03.30			76	1/2-1/2	1.4	Tornelo INT		Bluebaum,M	2670	SF Deizisau e.V.	twic1378.pgn	D05
Donchenko,Alexa	2659	2021.03.30	A28	European Online CC Final		2021.03.30			60	1/2-1/2	1.4	Tornelo INT		Howell,D	2658	4NCL Guildford	twic1378.pgn	A28
McShane,L	2674	2021.03.30	A05	European Online CC Final		2021.03.30			64	1-0	1.4	Tornelo INT		Meier,Geo	2628	SF Deizisau e.V.	twic1378.pgn	A05
Keymer,Vincent	2591	2021.03.30	E10	European Online CC Final		2021.03.30			96	1/2-1/2	1.4	Tornelo INT		Cheparinov,I	2667	4NCL Guildford	twic1378.pgn	E10
Artemiev,V	2709	2021.03.30	B69	European Online CC Final		2021.03.30			59	1/2-1/2	1.5	Tornelo INT		Grandelius,N	2670	Hamburger Schachklub 1830	twic1378.pgn	B69
Svane,R	2613	2021.03.30	B13	European Online CC Final		2021.03.30			98	1-0	1.5	Tornelo INT		Kamsky,G	2665	Ladya Kazan	twic1378.pgn	B13
Timofeev,Arty	2594	2021.03.30	B40	European Online CC Final		2021.03.30			77	1/2-1/2	1.5	Tornelo INT		Engel,Luis	2553	Hamburger Schachklub 1830	twic1378.pgn	B40
Heinemann,T	2502	2021.03.30	A46	European Online CC Final		2021.03.30			98	1-0	1.5	Tornelo INT		Sharafiev,A	2432	Ladya Kazan	twic1378.pgn	A46
Artemiev,V	2709	2021.03.30	C50	European Online CC Final		2021.03.30			62	1/2-1/2	2.1	Tornelo INT		Duda,J	2729	Poland Hussars	twic1378.pgn	C55
Moranda,W	2618	2021.03.30	B40	European Online CC Final		2021.03.30			88	1-0	2.1	Tornelo INT		Kamsky,G	2665	Ladya Kazan	twic1378.pgn	B40
Timofeev,Arty	2594	2021.03.30	D28	European Online CC Final		2021.03.30			108	1/2-1/2	2.1	Tornelo INT		Socko,B	2618	Poland Hussars	twic1378.pgn	D28
Tomczak,J	2610	2021.03.30	A48	European Online CC Final		2021.03.30			59	0-1	2.1	Tornelo INT		Sharafiev,A	2432	Ladya Kazan	twic1378.pgn	A48
Grandelius,N	2670	2021.03.30	B90	European Online CC Final		2021.03.30			69	1/2-1/2	2.2	Tornelo INT		Adams,Mi	2716	4NCL Guildford	twic1378.pgn	B90
Howell,D	2658	2021.03.30	A07	European Online CC Final		2021.03.30			85	1/2-1/2	2.2	Tornelo INT		Svane,R	2613	Hamburger Schachklub 1830	twic1378.pgn	A07
Engel,Luis	2553	2021.03.30	A13	European Online CC Final		2021.03.30			253	1/2-1/2	2.2	Tornelo INT		Jones,G	2670	4NCL Guildford	twic1378.pgn	A13
Cheparinov,I	2667	2021.03.30	B90	European Online CC Final		2021.03.30			116	1-0	2.2	Tornelo INT		Kramer,Julian	2419	Hamburger Schachklub 1830	twic1378.pgn	B90
Bluebaum,M	2670	2021.03.30	D38	European Online CC Final		2021.03.30			131	1/2-1/2	2.3	Tornelo INT		Vidit,S	2726	Novy Bor	twic1378.pgn	D38
Wojtaszek,R	2694	2021.03.30	A07	European Online CC Final		2021.03.30			59	1/2-1/2	2.3	Tornelo INT		Donchenko,Alexa	2659	SF Deizisau e.V.	twic1378.pgn	A07
Heimann,An	2606	2021.03.30	A34	European Online CC Final		2021.03.30			80	1-0	2.3	Tornelo INT		Navara,D	2697	Novy Bor	twic1378.pgn	A34
Sasikiran,K	2647	2021.03.30	D11	European Online CC Final		2021.03.30			40	1/2-1/2	2.3	Tornelo INT		Keymer,Vincent	2591	SF Deizisau e.V.	twic1378.pgn	D11
Fedoseev,Vl3	2687	2021.03.30	E21	European Online CC Final		2021.03.30			79	0-1	2.4	Tornelo INT		Mamedyarov,S	2770	Odlar Yurdu	twic1378.pgn	E12
Guseinov,G	2665	2021.03.30	B27	European Online CC Final		2021.03.30			94	1/2-1/2	2.4	Tornelo INT		Matlakov,M	2688	Mednyi Vsadnik	twic1378.pgn	B27
