Grischuk,A	2777	2021.04.27	B40	FIDE Candidates 2020		2020.03.17			128	1/2-1/2	14.1	Yekaterinburg RUS		Caruana,F	2842		twic1382.pgn	B40
Alekseenko,K	2698	2021.04.27	E01	FIDE Candidates 2020		2020.03.17			111	0-1	14.2	Yekaterinburg RUS		Giri,A	2763		twic1382.pgn	E01
Nepomniachtchi,I	2774	2021.04.27	E60	FIDE Candidates 2020		2020.03.17			68	1-0	14.3	Yekaterinburg RUS		Ding Liren	2805		twic1382.pgn	E60
Wang Hao	2762	2021.04.27	C67	FIDE Candidates 2020		2020.03.17			56	1-0	14.4	Yekaterinburg RUS		Vachier Lagrave,M	2767		twic1382.pgn	C67
Jones,G	2670	2021.04.26	B76	NIC Classic Prelim 2021		2021.04.24			96	1-0	11.1	chess24.com INT		Nakamura,Hi	2736		twic1382.pgn	B76
Carlsen,M	2847	2021.04.26	D12	NIC Classic Prelim 2021		2021.04.24			97	0-1	11.2	chess24.com INT		Firouzja,Alireza	2759		twic1382.pgn	D12
Christiansen,Johan-Sebastian	2618	2021.04.26	A58	NIC Classic Prelim 2021		2021.04.24			64	1-0	11.3	chess24.com INT		Duda,J	2729		twic1382.pgn	A58
Aronian,L	2781	2021.04.26	D38	NIC Classic Prelim 2021		2021.04.24			105	0-1	11.4	chess24.com INT		Praggnanandhaa,R	2608		twic1382.pgn	D38
Tari,A	2639	2021.04.26	D02	NIC Classic Prelim 2021		2021.04.24			60	1-0	11.5	chess24.com INT		So,W	2770		twic1382.pgn	D02
Radjabov,T	2765	2021.04.26	D79	NIC Classic Prelim 2021		2021.04.24			21	1/2-1/2	11.6	chess24.com INT		Mamedyarov,S	2770		twic1382.pgn	D79
Vidit,S	2726	2021.04.26	B40	NIC Classic Prelim 2021		2021.04.24			110	1-0	11.7	chess24.com INT		Karjakin,Sergey	2757		twic1382.pgn	B40
Dominguez Perez,L	2758	2021.04.26	D02	NIC Classic Prelim 2021		2021.04.24			95	1/2-1/2	11.8	chess24.com INT		Le Quang Liem	2709		twic1382.pgn	D02
Dominguez Perez,L	2758	2021.04.26	C53	NIC Classic Prelim 2021		2021.04.24			277	0-1	12.1	chess24.com INT		Jones,G	2670		twic1382.pgn	C53
Le Quang Liem	2709	2021.04.26	E10	NIC Classic Prelim 2021		2021.04.24			119	0-1	12.2	chess24.com INT		Vidit,S	2726		twic1382.pgn	E10
Karjakin,Sergey	2757	2021.04.26	C67	NIC Classic Prelim 2021		2021.04.24			27	1/2-1/2	12.3	chess24.com INT		Radjabov,T	2765		twic1382.pgn	C67
Mamedyarov,S	2770	2021.04.26	B13	NIC Classic Prelim 2021		2021.04.24			109	0-1	12.4	chess24.com INT		Tari,A	2639		twic1382.pgn	B13
So,W	2770	2021.04.26	C67	NIC Classic Prelim 2021		2021.04.24			27	1/2-1/2	12.5	chess24.com INT		Aronian,L	2781		twic1382.pgn	C67
Praggnanandhaa,R	2608	2021.04.26	B30	NIC Classic Prelim 2021		2021.04.24			177	0-1	12.6	chess24.com INT		Christiansen,Johan-Sebastian	2618		twic1382.pgn	B30
Duda,J	2729	2021.04.26	B90	NIC Classic Prelim 2021		2021.04.24			118	1-0	12.7	chess24.com INT		Carlsen,M	2847		twic1382.pgn	B90
Firouzja,Alireza	2759	2021.04.26	C67	NIC Classic Prelim 2021		2021.04.24			27	1/2-1/2	12.8	chess24.com INT		Nakamura,Hi	2736		twic1382.pgn	C67
Jones,G	2670	2021.04.26	E98	NIC Classic Prelim 2021		2021.04.24			95	1-0	13.1	chess24.com INT		Firouzja,Alireza	2759		twic1382.pgn	E98
Nakamura,Hi	2736	2021.04.26	D57	NIC Classic Prelim 2021		2021.04.24			131	1/2-1/2	13.2	chess24.com INT		Duda,J	2729		twic1382.pgn	D57
Carlsen,M	2847	2021.04.26	D37	NIC Classic Prelim 2021		2021.04.24			159	1/2-1/2	13.3	chess24.com INT		Praggnanandhaa,R	2608		twic1382.pgn	D37
Christiansen,Johan-Sebastian	2618	2021.04.26	A45	NIC Classic Prelim 2021		2021.04.24			160	1-0	13.4	chess24.com INT		So,W	2770		twic1382.pgn	A45
Aronian,L	2781	2021.04.26	D39	NIC Classic Prelim 2021		2021.04.24			48	1/2-1/2	13.5	chess24.com INT		Mamedyarov,S	2770		twic1382.pgn	D39
Tari,A	2639	2021.04.26	C50	NIC Classic Prelim 2021		2021.04.24			129	0-1	13.6	chess24.com INT		Karjakin,Sergey	2757		twic1382.pgn	C50
Radjabov,T	2765	2021.04.26	D37	NIC Classic Prelim 2021		2021.04.24			78	1/2-1/2	13.7	chess24.com INT		Le Quang Liem	2709		twic1382.pgn	D37
Vidit,S	2726	2021.04.26	B33	NIC Classic Prelim 2021		2021.04.24			71	1/2-1/2	13.8	chess24.com INT		Dominguez Perez,L	2758		twic1382.pgn	B33
Vidit,S	2726	2021.04.26	B40	NIC Classic Prelim 2021		2021.04.24			195	0-1	14.1	chess24.com INT		Jones,G	2670		twic1382.pgn	B40
Dominguez Perez,L	2758	2021.04.26	D26	NIC Classic Prelim 2021		2021.04.24			82	1/2-1/2	14.2	chess24.com INT		Radjabov,T	2765		twic1382.pgn	D26
Le Quang Liem	2709	2021.04.26	C45	NIC Classic Prelim 2021		2021.04.24			103	1/2-1/2	14.3	chess24.com INT		Tari,A	2639		twic1382.pgn	C45
Karjakin,Sergey	2757	2021.04.26	E15	NIC Classic Prelim 2021		2021.04.24			103	1/2-1/2	14.4	chess24.com INT		Aronian,L	2781		twic1382.pgn	E15
Mamedyarov,S	2770	2021.04.26	C02	NIC Classic Prelim 2021		2021.04.24			93	0-1	14.5	chess24.com INT		Christiansen,Johan-Sebastian	2618		twic1382.pgn	C02
So,W	2770	2021.04.26	C67	NIC Classic Prelim 2021		2021.04.24			60	1/2-1/2	14.6	chess24.com INT		Carlsen,M	2847		twic1382.pgn	C67
Praggnanandhaa,R	2608	2021.04.26	A08	NIC Classic Prelim 2021		2021.04.24			111	1/2-1/2	14.7	chess24.com INT		Nakamura,Hi	2736		twic1382.pgn	A08
Duda,J	2729	2021.04.26	A46	NIC Classic Prelim 2021		2021.04.24			89	0-1	14.8	chess24.com INT		Firouzja,Alireza	2759		twic1382.pgn	A46
