Van Foreest,Jorden	2493	2015.03.31	D11	Aeroflot Open A 2015		2015.03.27			56	1/2-1/2	5.1	Moscow RUS		Sasikiran,K	2682		twic1065.pgn	D11
Nepomniachtchi,I	2714	2015.03.31	B51	Aeroflot Open A 2015		2015.03.27			77	0-1	5.2	Moscow RUS		Kobalia,M	2632		twic1065.pgn	B51
Korobov,A	2694	2015.03.31	A21	Aeroflot Open A 2015		2015.03.27			34	1/2-1/2	5.3	Moscow RUS		Khairullin,I	2630		twic1065.pgn	A21
Dubov,Daniil	2627	2015.03.31	A30	Aeroflot Open A 2015		2015.03.27			105	0-1	5.4	Moscow RUS		Kovalenko,I	2661		twic1065.pgn	A30
Bukavshin,I	2618	2015.03.31	B22	Aeroflot Open A 2015		2015.03.27			44	1/2-1/2	5.5	Moscow RUS		Zvjaginsev,V	2658		twic1065.pgn	B22
Lu Shanglei	2570	2015.03.31	D44	Aeroflot Open A 2015		2015.03.27			64	1/2-1/2	5.6	Moscow RUS		Adhiban,Baskaran	2646		twic1065.pgn	D44
Svetushkin,D	2592	2015.03.31	A08	Aeroflot Open A 2015		2015.03.27			155	1-0	5.7	Moscow RUS		Petrosian,TL	2671		twic1065.pgn	A08
Anton Guijarro,D	2614	2015.03.31	A85	Aeroflot Open A 2015		2015.03.27			83	0-1	5.8	Moscow RUS		Mamedyarov,S	2756		twic1065.pgn	A85
Rapport,R	2709	2015.03.31	B28	Aeroflot Open A 2015		2015.03.27			63	0-1	5.9	Moscow RUS		Sethuraman,S	2623		twic1065.pgn	B43
Vallejo Pons,F	2708	2015.03.31	D43	Aeroflot Open A 2015		2015.03.27			51	1/2-1/2	5.10	Moscow RUS		Khalifman,A	2613		twic1065.pgn	D43
Grachev,B	2673	2015.03.31	D30	Aeroflot Open A 2015		2015.03.27			67	1/2-1/2	5.11	Moscow RUS		Wagner,De	2549		twic1065.pgn	D30
Mamedov,Rau	2658	2015.03.31	E73	Aeroflot Open A 2015		2015.03.27			100	1/2-1/2	5.12	Moscow RUS		Potkin,V	2605		twic1065.pgn	E73
Motylev,A	2653	2015.03.31	D11	Aeroflot Open A 2015		2015.03.27			33	1/2-1/2	5.13	Moscow RUS		Shimanov,A	2594		twic1065.pgn	D11
Gabuzyan,H	2553	2015.03.31	E91	Aeroflot Open A 2015		2015.03.27			136	1/2-1/2	5.14	Moscow RUS		Inarkiev,E	2706		twic1065.pgn	E91
Stupak,K	2567	2015.03.31	C00	Aeroflot Open A 2015		2015.03.27			146	1-0	5.15	Moscow RUS		Fedoseev,Vl3	2674		twic1065.pgn	C00
Sjugirov,S	2669	2015.03.31	B81	Aeroflot Open A 2015		2015.03.27			56	0-1	5.16	Moscow RUS		Idani,P	2496		twic1065.pgn	B81
Svane,R	2509	2015.03.31	A07	Aeroflot Open A 2015		2015.03.27			94	1-0	5.17	Moscow RUS		Khismatullin,D	2650		twic1065.pgn	A07
Mozharov,M	2555	2015.03.31	E15	Aeroflot Open A 2015		2015.03.27			104	1/2-1/2	5.18	Moscow RUS		Vidit,S	2625		twic1065.pgn	E15
Swayams,M	2440	2015.03.31	E00	Aeroflot Open A 2015		2015.03.27			70	1/2-1/2	5.19	Moscow RUS		Ponkratov,P	2613		twic1065.pgn	E00
Salem,AR	2603	2015.03.31	B90	Aeroflot Open A 2015		2015.03.27			57	0-1	5.20	Moscow RUS		Vishnu,P	2477		twic1065.pgn	B90
Bok,B	2587	2015.03.31	A31	Aeroflot Open A 2015		2015.03.27			132	1-0	5.21	Moscow RUS		Grigoriants,S RUS	2573		twic1065.pgn	A31
Kovalevskaya,E	2438	2015.03.31	D30	Aeroflot Open A 2015		2015.03.27			112	1-0	5.22	Moscow RUS		Bogdanovich,S	2581		twic1065.pgn	D30
Sanal,V	2487	2015.03.31	E00	Aeroflot Open A 2015		2015.03.27			106	1-0	5.23	Moscow RUS		Matlakov,M	2693		twic1065.pgn	E00
Iturrizaga,E	2630	2015.03.31	B48	Aeroflot Open A 2015		2015.03.27			82	1/2-1/2	5.24	Moscow RUS		Oparin,G	2562		twic1065.pgn	B48
Sandipan,C	2569	2015.03.31	D43	Aeroflot Open A 2015		2015.03.27			136	1-0	5.25	Moscow RUS		Goganov,A	2598		twic1065.pgn	D43
Savchenko,B	2581	2015.03.31	A40	Aeroflot Open A 2015		2015.03.27			95	0-1	5.26	Moscow RUS		Batchuluun,T	2499		twic1065.pgn	A40
Bluebaum,M	2576	2015.03.31	C11	Aeroflot Open A 2015		2015.03.27			77	0-1	5.27	Moscow RUS		Predke,A	2530		twic1065.pgn	C11
