Caruana,F	2842	2021.04.20	C50	FIDE Candidates 2020		2020.03.17			117	1/2-1/2	9.1	Yekaterinburg RUS		Alekseenko,K	2698		twic1381.pgn	C53
Nepomniachtchi,I	2774	2021.04.20	D85	FIDE Candidates 2020		2020.03.17			79	1/2-1/2	9.2	Yekaterinburg RUS		Grischuk,A	2777		twic1381.pgn	D85
Wang Hao	2762	2021.04.20	E06	FIDE Candidates 2020		2020.03.17			76	1-0	9.3	Yekaterinburg RUS		Giri,A	2763		twic1381.pgn	E06
Vachier Lagrave,M	2767	2021.04.20	E60	FIDE Candidates 2020		2020.03.17			174	1/2-1/2	9.4	Yekaterinburg RUS		Ding Liren	2805		twic1381.pgn	E60
Ding Liren	2805	2021.04.21	C88	FIDE Candidates 2020		2020.03.17			79	1/2-1/2	10.1	Yekaterinburg RUS		Caruana,F	2842		twic1381.pgn	C88
Giri,A	2763	2021.04.21	B33	FIDE Candidates 2020		2020.03.17			79	1/2-1/2	10.2	Yekaterinburg RUS		Vachier Lagrave,M	2767		twic1381.pgn	B33
Grischuk,A	2777	2021.04.21	C11	FIDE Candidates 2020		2020.03.17			81	1/2-1/2	10.3	Yekaterinburg RUS		Wang Hao	2762		twic1381.pgn	C11
Alekseenko,K	2698	2021.04.21	A13	FIDE Candidates 2020		2020.03.17			60	1-0	10.4	Yekaterinburg RUS		Nepomniachtchi,I	2774		twic1381.pgn	A13
Caruana,F	2842	2021.04.23	C47	FIDE Candidates 2020		2020.03.17			80	1/2-1/2	11.1	Yekaterinburg RUS		Nepomniachtchi,I	2774		twic1381.pgn	C47
Wang Hao	2762	2021.04.23	C55	FIDE Candidates 2020		2020.03.17			109	1/2-1/2	11.2	Yekaterinburg RUS		Alekseenko,K	2698		twic1381.pgn	C55
Vachier Lagrave,M	2767	2021.04.23	B23	FIDE Candidates 2020		2020.03.17			94	1-0	11.3	Yekaterinburg RUS		Grischuk,A	2777		twic1381.pgn	B23
Ding Liren	2805	2021.04.23	C85	FIDE Candidates 2020		2020.03.17			56	1-0	11.4	Yekaterinburg RUS		Giri,A	2763		twic1381.pgn	C85
Giri,A	2763	2021.04.24	B40	FIDE Candidates 2020		2020.03.17			89	0-1	12.1	Yekaterinburg RUS		Caruana,F	2842		twic1381.pgn	B40
Grischuk,A	2777	2021.04.24	D37	FIDE Candidates 2020		2020.03.17			92	1-0	12.2	Yekaterinburg RUS		Ding Liren	2805		twic1381.pgn	D37
Alekseenko,K	2698	2021.04.24	B12	FIDE Candidates 2020		2020.03.17			88	1-0	12.3	Yekaterinburg RUS		Vachier Lagrave,M	2767		twic1381.pgn	B12
Nepomniachtchi,I	2774	2021.04.24	C42	FIDE Candidates 2020		2020.03.17			117	0-1	12.4	Yekaterinburg RUS		Wang Hao	2762		twic1381.pgn	C42
Caruana,F	2842	2021.04.26	B40	FIDE Candidates 2020		2020.03.17			83	0-1	13.1	Yekaterinburg RUS		Wang Hao	2762		twic1381.pgn	B40
Vachier Lagrave,M	2767	2021.04.26	A15	FIDE Candidates 2020		2020.03.17			82	1/2-1/2	13.2	Yekaterinburg RUS		Nepomniachtchi,I	2774		twic1381.pgn	A15
Ding Liren	2805	2021.04.26	C50	FIDE Candidates 2020		2020.03.17			121	0-1	13.3	Yekaterinburg RUS		Alekseenko,K	2698		twic1381.pgn	C53
Giri,A	2763	2021.04.26	E16	FIDE Candidates 2020		2020.03.17			100	1-0	13.4	Yekaterinburg RUS		Grischuk,A	2777		twic1381.pgn	E16
Jones,G	2670	2021.04.24	A38	NIC Classic Prelim 2021		2021.04.24			86	1-0	1.1	chess24.com INT		Radjabov,T	2765		twic1381.pgn	A38
Vidit,S	2726	2021.04.24	B40	NIC Classic Prelim 2021		2021.04.24			203	1/2-1/2	1.2	chess24.com INT		Tari,A	2639		twic1381.pgn	B40
Dominguez Perez,L	2758	2021.04.24	D02	NIC Classic Prelim 2021		2021.04.24			119	1/2-1/2	1.3	chess24.com INT		Aronian,L	2781		twic1381.pgn	D02
Le Quang Liem	2709	2021.04.24	A13	NIC Classic Prelim 2021		2021.04.24			109	0-1	1.4	chess24.com INT		Christiansen,Johan-Sebastian	2618		twic1381.pgn	A13
Karjakin,Sergey	2757	2021.04.24	C65	NIC Classic Prelim 2021		2021.04.24			131	1/2-1/2	1.5	chess24.com INT		Carlsen,M	2847		twic1381.pgn	C65
Mamedyarov,S	2770	2021.04.24	C80	NIC Classic Prelim 2021		2021.04.24			86	1-0	1.6	chess24.com INT		Nakamura,Hi	2736		twic1381.pgn	C80
So,W	2770	2021.04.24	D02	NIC Classic Prelim 2021		2021.04.24			106	1-0	1.7	chess24.com INT		Firouzja,Alireza	2759		twic1381.pgn	D02
Praggnanandhaa,R	2608	2021.04.24	D37	NIC Classic Prelim 2021		2021.04.24			99	0-1	1.8	chess24.com INT		Duda,J	2729		twic1381.pgn	D37
Praggnanandhaa,R	2608	2021.04.24	B23	NIC Classic Prelim 2021		2021.04.24			72	1/2-1/2	2.1	chess24.com INT		Jones,G	2670		twic1381.pgn	B23
Duda,J	2729	2021.04.24	A46	NIC Classic Prelim 2021		2021.04.24			39	0-1	2.2	chess24.com INT		So,W	2770		twic1381.pgn	A46
Firouzja,Alireza	2759	2021.04.24	D37	NIC Classic Prelim 2021		2021.04.24			90	1-0	2.3	chess24.com INT		Mamedyarov,S	2770		twic1381.pgn	D37
Nakamura,Hi	2736	2021.04.24	C67	NIC Classic Prelim 2021		2021.04.24			27	1/2-1/2	2.4	chess24.com INT		Karjakin,Sergey	2757		twic1381.pgn	C67
Carlsen,M	2847	2021.04.24	D37	NIC Classic Prelim 2021		2021.04.24			103	0-1	2.5	chess24.com INT		Le Quang Liem	2709		twic1381.pgn	D37
Christiansen,Johan-Sebastian	2618	2021.04.24	B40	NIC Classic Prelim 2021		2021.04.24			58	1-0	2.6	chess24.com INT		Dominguez Perez,L	2758		twic1381.pgn	B40
Aronian,L	2781	2021.04.24	E04	NIC Classic Prelim 2021		2021.04.24			56	1/2-1/2	2.7	chess24.com INT		Vidit,S	2726		twic1381.pgn	E04
Tari,A	2639	2021.04.24	D40	NIC Classic Prelim 2021		2021.04.24			70	1-0	2.8	chess24.com INT		Radjabov,T	2765		twic1381.pgn	D40
Jones,G	2670	2021.04.24	B76	NIC Classic Prelim 2021		2021.04.24			91	1/2-1/2	3.1	chess24.com INT		Tari,A	2639		twic1381.pgn	B76
Radjabov,T	2765	2021.04.24	A46	NIC Classic Prelim 2021		2021.04.24			57	1/2-1/2	3.2	chess24.com INT		Aronian,L	2781		twic1381.pgn	A46
Vidit,S	2726	2021.04.24	B40	NIC Classic Prelim 2021		2021.04.24			89	0-1	3.3	chess24.com INT		Christiansen,Johan-Sebastian	2618		twic1381.pgn	B40
Dominguez Perez,L	2758	2021.04.24	C53	NIC Classic Prelim 2021		2021.04.24			118	1-0	3.4	chess24.com INT		Carlsen,M	2847		twic1381.pgn	C53
Le Quang Liem	2709	2021.04.24	D31	NIC Classic Prelim 2021		2021.04.24			184	1/2-1/2	3.5	chess24.com INT		Nakamura,Hi	2736		twic1381.pgn	D31
Karjakin,Sergey	2757	2021.04.24	D04	NIC Classic Prelim 2021		2021.04.24			100	1-0	3.6	chess24.com INT		Firouzja,Alireza	2759		twic1381.pgn	D04
Mamedyarov,S	2770	2021.04.24	E10	NIC Classic Prelim 2021		2021.04.24			53	0-1	3.7	chess24.com INT		Duda,J	2729		twic1381.pgn	E10
So,W	2770	2021.04.24	D85	NIC Classic Prelim 2021		2021.04.24			93	0-1	3.8	chess24.com INT		Praggnanandhaa,R	2608		twic1381.pgn	D85
So,W	2770	2021.04.24	C56	NIC Classic Prelim 2021		2021.04.24			42	1-0	4.1	chess24.com INT		Jones,G	2670		twic1381.pgn	C56
Praggnanandhaa,R	2608	2021.04.24	E21	NIC Classic Prelim 2021		2021.04.24			115	1/2-1/2	4.2	chess24.com INT		Mamedyarov,S	2770		twic1381.pgn	E12
Duda,J	2729	2021.04.24	B81	NIC Classic Prelim 2021		2021.04.24			136	1/2-1/2	4.3	chess24.com INT		Karjakin,Sergey	2757		twic1381.pgn	B81
Firouzja,Alireza	2759	2021.04.24	D15	NIC Classic Prelim 2021		2021.04.24			91	1/2-1/2	4.4	chess24.com INT		Le Quang Liem	2709		twic1381.pgn	D15
Nakamura,Hi	2736	2021.04.24	C67	NIC Classic Prelim 2021		2021.04.24			27	1/2-1/2	4.5	chess24.com INT		Dominguez Perez,L	2758		twic1381.pgn	C67
Carlsen,M	2847	2021.04.24	E34	NIC Classic Prelim 2021		2021.04.24			148	1/2-1/2	4.6	chess24.com INT		Vidit,S	2726		twic1381.pgn	E34
Christiansen,Johan-Sebastian	2618	2021.04.24	D02	NIC Classic Prelim 2021		2021.04.24			56	1-0	4.7	chess24.com INT		Radjabov,T	2765		twic1381.pgn	D02
Aronian,L	2781	2021.04.24	C47	NIC Classic Prelim 2021		2021.04.24			54	1/2-1/2	4.8	chess24.com INT		Tari,A	2639		twic1381.pgn	C47
Jones,G	2670	2021.04.24	A48	NIC Classic Prelim 2021		2021.04.24			206	1-0	5.1	chess24.com INT		Aronian,L	2781		twic1381.pgn	A48
Tari,A	2639	2021.04.24	C26	NIC Classic Prelim 2021		2021.04.24			117	0-1	5.2	chess24.com INT		Christiansen,Johan-Sebastian	2618		twic1381.pgn	C26
Radjabov,T	2765	2021.04.24	C65	NIC Classic Prelim 2021		2021.04.24			89	1/2-1/2	5.3	chess24.com INT		Carlsen,M	2847		twic1381.pgn	C65
Vidit,S	2726	2021.04.24	A05	NIC Classic Prelim 2021		2021.04.24			106	1/2-1/2	5.4	chess24.com INT		Nakamura,Hi	2736		twic1381.pgn	A05
Dominguez Perez,L	2758	2021.04.24	D02	NIC Classic Prelim 2021		2021.04.24			112	1-0	5.5	chess24.com INT		Firouzja,Alireza	2759		twic1381.pgn	D02
Le Quang Liem	2709	2021.04.24	E10	NIC Classic Prelim 2021		2021.04.24			114	1-0	5.6	chess24.com INT		Duda,J	2729		twic1381.pgn	E10
Karjakin,Sergey	2757	2021.04.24	E15	NIC Classic Prelim 2021		2021.04.24			102	1-0	5.7	chess24.com INT		Praggnanandhaa,R	2608		twic1381.pgn	E15
Mamedyarov,S	2770	2021.04.24	A20	NIC Classic Prelim 2021		2021.04.24			108	1-0	5.8	chess24.com INT		So,W	2770		twic1381.pgn	A20
