Nijboer,F	2515	1999.05.02	B42	Sonsbeek SNS					63	1/2-1/2	1	Arnhem NED		Xie Jun	2532		twic234.pgn	B42
Korchnoi,V	2673	1999.05.02	E43	Sonsbeek SNS					62	1-0	1	Arnhem NED		Sadler,M	2667		twic234.pgn	E43
Korchnoi,V	2673	1999.05.03	C11	Sonsbeek SNS					61	0-1	2	Arnhem NED		Nijboer,F	2515		twic234.pgn	C11
Sadler,M	2667	1999.05.03	B90	Sonsbeek SNS					87	0-1	2	Arnhem NED		Xie Jun	2532		twic234.pgn	B90
Fritz 5.32	0	1999.04.27	B47	Human vs Computer Match					81	1/2-1/2	1	Budapest HUN		Polgar,Ju	2677		twic234.pgn	B46
Polgar,Ju	2677	1999.04.27	B40	Human vs Computer Match					76	1/2-1/2	2	Budapest HUN		Fritz 5.32	0		twic234.pgn	B40
Fritz 5.32	0	1999.04.28	B42	Human vs Computer Match					129	1/2-1/2	3	Budapest HUN		Polgar,Ju	2677		twic234.pgn	B54
Polgar,Ju	2677	1999.04.28	B40	Human vs Computer Match					60	1-0	4	Budapest HUN		Fritz 5.32	0		twic234.pgn	B40
Fritz 5.32	0	1999.04.29	B48	Human vs Computer Match					51	0-1	5	Budapest HUN		Polgar,Ju	2677		twic234.pgn	B46
Polgar,Ju	2677	1999.04.29	B16	Human vs Computer Match					96	1-0	6	Budapest HUN		Fritz 5.32	0		twic234.pgn	B16
Fritz 5.32	0	1999.04.30	B83	Human vs Computer Match					45	1-0	7	Budapest HUN		Polgar,Ju	2677		twic234.pgn	B56
Polgar,Ju	2677	1999.04.30	E97	Human vs Computer Match					92	1-0	8	Budapest HUN		Fritz 5.32	0		twic234.pgn	E97
Skembris,S	2445	1999.04.23	C80	Leonardo di Bono mem					86	1/2-1/2	1	Cutro ITA		Zontakh,A	2530		twic234.pgn	C80
Borgo,G	2448	1999.04.23	D45	Leonardo di Bono mem					61	0-1	1	Cutro ITA		Abatino,M	2275		twic234.pgn	D45
Romanishin,O	2572	1999.04.23	D02	Leonardo di Bono mem					69	1/2-1/2	1	Cutro ITA		Efimov,I	2494		twic234.pgn	A49
