Anand,V	2756	2019.08.19	C50	7th Sinquefield Cup 2019		2019.08.17			82	1/2-1/2	3.1	Saint Louis USA		Aronian,L	2765		twic1294.pgn	C50
Caruana,F	2818	2019.08.19	D37	7th Sinquefield Cup 2019		2019.08.17			84	1/2-1/2	3.2	Saint Louis USA		Carlsen,M	2882		twic1294.pgn	D37
Vachier Lagrave,M	2778	2019.08.19	D85	7th Sinquefield Cup 2019		2019.08.17			98	1/2-1/2	3.3	Saint Louis USA		Ding Liren	2805		twic1294.pgn	D85
Giri,A	2779	2019.08.19	E06	7th Sinquefield Cup 2019		2019.08.17			73	1/2-1/2	3.4	Saint Louis USA		So,W	2776		twic1294.pgn	E06
Karjakin,Sergey	2750	2019.08.19	E10	7th Sinquefield Cup 2019		2019.08.17			207	1/2-1/2	3.5	Saint Louis USA		Nakamura,Hi	2743		twic1294.pgn	E10
Mamedyarov,S	2764	2019.08.19	C78	7th Sinquefield Cup 2019		2019.08.17			104	1/2-1/2	3.6	Saint Louis USA		Nepomniachtchi,I	2774		twic1294.pgn	C78
So,W	2776	2019.08.20	C42	7th Sinquefield Cup 2019		2019.08.17			83	1/2-1/2	4.1	Saint Louis USA		Anand,V	2756		twic1294.pgn	C42
Carlsen,M	2882	2019.08.20	D45	7th Sinquefield Cup 2019		2019.08.17			134	1/2-1/2	4.2	Saint Louis USA		Mamedyarov,S	2764		twic1294.pgn	D45
Aronian,L	2765	2019.08.20	C65	7th Sinquefield Cup 2019		2019.08.17			104	1-0	4.3	Saint Louis USA		Caruana,F	2818		twic1294.pgn	C65
Ding Liren	2805	2019.08.20	C88	7th Sinquefield Cup 2019		2019.08.17			93	1/2-1/2	4.4	Saint Louis USA		Nakamura,Hi	2743		twic1294.pgn	C88
Vachier Lagrave,M	2778	2019.08.20	D86	7th Sinquefield Cup 2019		2019.08.17			88	1/2-1/2	4.5	Saint Louis USA		Giri,A	2779		twic1294.pgn	D86
Nepomniachtchi,I	2774	2019.08.20	E60	7th Sinquefield Cup 2019		2019.08.17			40	1/2-1/2	4.6	Saint Louis USA		Karjakin,Sergey	2750		twic1294.pgn	E60
Caruana,F	2818	2019.08.21	A20	7th Sinquefield Cup 2019		2019.08.17			71	1/2-1/2	5.1	Saint Louis USA		So,W	2776		twic1294.pgn	A20
