Ju Wenjun	2584	2020.01.05	D37	WCh Women 2020		2020.01.05			192	1/2-1/2	1	Shanghai/Vladivostok CHN		Goryachkina,A	2578		twic1313.pgn	D37
Goryachkina,A	2578	2020.01.06	C67	WCh Women 2020		2020.01.05			79	1/2-1/2	2	Shanghai/Vladivostok CHN		Ju Wenjun	2584		twic1313.pgn	C67
Swayams,M	2479	2019.12.30	A13	Hastings Masters 2019-20		2019.12.28			42	1/2-1/2	3.1	Hastings ENG		Howell,D	2676		twic1313.pgn	A13
Edouard,R	2653	2019.12.30	A28	Hastings Masters 2019-20		2019.12.28			21	1/2-1/2	3.2	Hastings ENG		Panchanathan,M	2479		twic1313.pgn	A28
Williams,Si1	2461	2019.12.30	C01	Hastings Masters 2019-20		2019.12.28			120	1/2-1/2	3.3	Hastings ENG		Van den Doel,E	2589		twic1313.pgn	C01
Sengupta,D	2564	2019.12.30	C19	Hastings Masters 2019-20		2019.12.28			45	1/2-1/2	3.4	Hastings ENG		Bagi,M	2469		twic1313.pgn	C19
Stany,G	2526	2019.12.30	A15	Hastings Masters 2019-20		2019.12.28			136	1/2-1/2	3.5	Hastings ENG		Arkell,K	2453		twic1313.pgn	A15
Terentiev,S	2292	2019.12.30	B27	Hastings Masters 2019-20		2019.12.28			74	1-0	3.6	Hastings ENG		Korneev,O	2524		twic1313.pgn	B27
Petrov,Martin	2497	2019.12.30	B12	Hastings Masters 2019-20		2019.12.28			53	0-1	3.7	Hastings ENG		Petrov,Vl5	2355		twic1313.pgn	B12
Hebden,M	2433	2019.12.30	A49	Hastings Masters 2019-20		2019.12.28			74	1-0	3.8	Hastings ENG		Bates,Ri	2342		twic1313.pgn	A49
Willow,Jonah B	2355	2019.12.30	A04	Hastings Masters 2019-20		2019.12.28			80	1/2-1/2	3.9	Hastings ENG		Wadsworth,Matthew J	2401		twic1313.pgn	A04
Okhai,Shabir	2103	2019.12.30	A77	Hastings Masters 2019-20		2019.12.28			64	1-0	3.10	Hastings ENG		Kantor,G	2541		twic1313.pgn	A77
Snape,I	2196	2019.12.30	B04	Hastings Masters 2019-20		2019.12.28			102	1-0	3.11	Hastings ENG		Gormally,D	2497		twic1313.pgn	B04
Flear,G	2440	2019.12.30	D27	Hastings Masters 2019-20		2019.12.28			37	0-1	3.12	Hastings ENG		Brozel,Sacha	2188		twic1313.pgn	D27
Bin-Suhayl,Ieysaa	2187	2019.12.30	E21	Hastings Masters 2019-20		2019.12.28			54	1-0	3.13	Hastings ENG		Fishbein,A	2435		twic1313.pgn	E20
Graham,Da	2152	2019.12.30	E09	Hastings Masters 2019-20		2019.12.28			98	1-0	3.14	Hastings ENG		Merry,Alan B	2420		twic1313.pgn	E09
Cherniaev,A1	2419	2019.12.30	B00	Hastings Masters 2019-20		2019.12.28			126	1/2-1/2	3.15	Hastings ENG		Gallagher,Daniel GH	2171		twic1313.pgn	B00
Eames,R	2150	2019.12.30	E52	Hastings Masters 2019-20		2019.12.28			70	1-0	3.16	Hastings ENG		Lalic,B	2414		twic1313.pgn	E52
Murphy,Conor E	2407	2019.12.30	A14	Hastings Masters 2019-20		2019.12.28			145	1/2-1/2	3.17	Hastings ENG		Sucikova,Svetlana	2160		twic1313.pgn	A14
Vaishali,R	2376	2019.12.30	A15	Hastings Masters 2019-20		2019.12.28			97	1/2-1/2	3.18	Hastings ENG		Fishbein,Mitch	2151		twic1313.pgn	A15
Rudd,J	2331	2019.12.30	C00	Hastings Masters 2019-20		2019.12.28			57	0-1	3.19	Hastings ENG		Gutierrez Carmona,J	2146		twic1313.pgn	C00
De Boer,Bas	2138	2019.12.30	C44	Hastings Masters 2019-20		2019.12.28			74	1-0	3.20	Hastings ENG		Grieve,Harry	2299		twic1313.pgn	C44
Yao,Lan	2281	2019.12.30	A15	Hastings Masters 2019-20		2019.12.28			89	0-1	3.21	Hastings ENG		Midhun,P	2135		twic1313.pgn	A15
Patrick,Chaski	2131	2019.12.30	B23	Hastings Masters 2019-20		2019.12.28			70	1-0	3.22	Hastings ENG		Lyell,M	2265		twic1313.pgn	B23
Merriman,J	2219	2019.12.30	C11	Hastings Masters 2019-20		2019.12.28			37	1/2-1/2	3.23	Hastings ENG		Ryzhkov,Vj	2134		twic1313.pgn	C11
Brown,Th	2116	2019.12.30	D02	Hastings Masters 2019-20		2019.12.28			62	1-0	3.24	Hastings ENG		Wall,T	2218		twic1313.pgn	D02
Lehaci,Miruna-Daria	2214	2019.12.30	B90	Hastings Masters 2019-20		2019.12.28			136	1/2-1/2	3.25	Hastings ENG		Price,Gwilym	2110		twic1313.pgn	B90
Pavlov,Mikhail	1955	2019.12.30	A57	Hastings Masters 2019-20		2019.12.28			63	1/2-1/2	3.26	Hastings ENG		Ratnesan,Ranesh	2213		twic1313.pgn	A57
Keetman,Maaike	2203	2019.12.30	C03	Hastings Masters 2019-20		2019.12.28			102	1/2-1/2	3.27	Hastings ENG		Shivika,Rohilla	1744		twic1313.pgn	C03
Akeya-Price,Robert	1880	2019.12.30	D02	Hastings Masters 2019-20		2019.12.28			75	1/2-1/2	3.28	Hastings ENG		Stoyanov,Viktor	2272		twic1313.pgn	D02
Ratsma,Midas	2270	2019.12.30	B18	Hastings Masters 2019-20		2019.12.28			61	0-1	3.29	Hastings ENG		McNally,Richard J E	1967		twic1313.pgn	B18
Anderson,J	2163	2019.12.30	A15	Hastings Masters 2019-20		2019.12.28			77	1/2-1/2	3.30	Hastings ENG		Rice,C	2027		twic1313.pgn	A15
Boino,C	2146	2019.12.30	D00	Hastings Masters 2019-20		2019.12.28			94	1-0	3.31	Hastings ENG		Chapman,Matt	1937		twic1313.pgn	D00
Elwin,A	1986	2019.12.30	A37	Hastings Masters 2019-20		2019.12.28			82	1-0	3.32	Hastings ENG		Thompson,I	2141		twic1313.pgn	A37
Fryer,D	1913	2019.12.30	E91	Hastings Masters 2019-20		2019.12.28			113	0-1	3.33	Hastings ENG		White,S	2106		twic1313.pgn	E91
Ruane,Brendan J	1882	2019.12.30	A40	Hastings Masters 2019-20		2019.12.28			142	1-0	3.34	Hastings ENG		Willson,Ollie	2082		twic1313.pgn	A40
Pekin,T	2080	2019.12.30	B01	Hastings Masters 2019-20		2019.12.28			119	0-1	3.35	Hastings ENG		Zheng,Jerry Z	1565		twic1313.pgn	B01
Thorpe,Thomas	1924	2019.12.30	A85	Hastings Masters 2019-20		2019.12.28			62	1-0	3.36	Hastings ENG		Brouwer,D	2202		twic1313.pgn	A85
Makkar,Rajat	2137	2019.12.30	C52	Hastings Masters 2019-20		2019.12.28			73	0-1	3.37	Hastings ENG		Jukes,Sam	1906		twic1313.pgn	C52
Jennings,Richard	1903	2019.12.30	A41	Hastings Masters 2019-20		2019.12.28			62	1-0	3.38	Hastings ENG		Persson,Andr	2112		twic1313.pgn	A46
Hutchinson,P	2112	2019.12.30	D46	Hastings Masters 2019-20		2019.12.28			179	0-1	3.39	Hastings ENG		Metcalfe,Charlie P	1867		twic1313.pgn	D46
Comellas Blanchart,J	2064	2019.12.30	D80	Hastings Masters 2019-20		2019.12.28			47	0-1	3.40	Hastings ENG		Drastik,Penelope	1821		twic1313.pgn	D80
Faulks,N	1900	2019.12.30	A67	Hastings Masters 2019-20		2019.12.28			44	1-0	3.41	Hastings ENG		Balaji,Aaravamudhan	2050		twic1313.pgn	A67
Anuprita,P	2025	2019.12.30	D56	Hastings Masters 2019-20		2019.12.28			147	0-1	3.42	Hastings ENG		Verma,Shlok	1691		twic1313.pgn	D56
Norinkeviciute,R	2018	2019.12.30	A04	Hastings Masters 2019-20		2019.12.28			111	1/2-1/2	3.43	Hastings ENG		Brouwer,Willem	1662		twic1313.pgn	A04
Merriman,James	1895	2019.12.30	A05	Hastings Masters 2019-20		2019.12.28			200	1-0	3.44	Hastings ENG		De Coverly,R	1986		twic1313.pgn	A05
