Leko,P	2743	2000.08.14	B47	WDR Match g/60		2000.08.14			62	1-0	1	Koeln GER		Kramnik,V	2770		twic301.pgn	B44
Ward,C	2508	2000.08.07	A46	ch-GBR		2000.07.31			114	1/2-1/2	7	Millfield ENG		Hebden,M	2505		twic301.pgn	A46
Kelly,B	2426	2000.08.07	D10	ch-GBR		2000.07.31			90	1/2-1/2	7	Millfield ENG		Wells,P	2506		twic301.pgn	D10
McMichael,R	2250	2000.08.07	A90	ch-GBR		2000.07.31			148	1-0	7	Millfield ENG		Arkell,K	2481		twic301.pgn	A90
Buckley,G	2351	2000.08.07	B23	ch-GBR		2000.07.31			121	1-0	7	Millfield ENG		Jackson,O	2209		twic301.pgn	B23
Koneru,H	2286	2000.08.07	D94	ch-GBR		2000.07.31			129	0-1	7	Millfield ENG		Barton,A	2145		twic301.pgn	D94
Greet,A	2266	2000.08.07	B51	ch-GBR		2000.07.31			123	0-1	7	Millfield ENG		Wise,D	2173		twic301.pgn	B51
Waters,C	2170	2000.08.07	E11	ch-GBR		2000.07.31			162	1/2-1/2	7	Millfield ENG		Kemp,Pe	2214		twic301.pgn	E11
Freeman,Richard	0	2000.08.07	C10	ch-GBR		2000.07.31			164	1-0	7	Millfield ENG		Buckley,M	2124		twic301.pgn	B00
Williams,S	2353	2000.08.07	B30	ch-GBR		2000.07.31			138	1-0	7	Millfield ENG		Hunt,H	2454		twic301.pgn	C00
Pleasants,Allan	0	2000.08.07	B06	ch-GBR		2000.07.31			100	1/2-1/2	7	Millfield ENG		McDonnell,J	2050		twic301.pgn	B06
Howell,David	0	2000.08.07	C68	ch-GBR		2000.07.31			88	1-0	7	Millfield ENG		Evans Quek,D	0		twic301.pgn	C68
Obiamiwe,P	2065	2000.08.07	C77	ch-GBR		2000.07.31			124	1-0	7	Millfield ENG		Homer,S	0		twic301.pgn	C77
Turner,M	2491	2000.08.07	A14	ch-GBR		2000.07.31			33	1/2-1/2	7	Millfield ENG		Webster,A	2417		twic301.pgn	A13
Simons,M	2226	2000.08.07	A58	ch-GBR		2000.07.31			24	0-1	7	Millfield ENG		Binks,M	2155		twic301.pgn	A58
Quek Suan Shiau	2261	2000.08.07	B00	ch-GBR		2000.07.31			66	1-0	7	Millfield ENG		Rudd,J	2176		twic301.pgn	B00
Miles,A	2584	2000.08.07	A41	ch-GBR		2000.07.31			33	1/2-1/2	7	Millfield ENG		Summerscale,A	2459		twic301.pgn	A41
Wohl,A	2461	2000.08.07	A48	ch-GBR		2000.07.31			46	1-0	7	Millfield ENG		Speelman,J	2623		twic301.pgn	A48
Tan,D	2203	2000.08.07	A34	ch-GBR		2000.07.31			39	1/2-1/2	7	Millfield ENG		Rayner,F	2256		twic301.pgn	A30
Collins,S	2172	2000.08.07	B80	ch-GBR		2000.07.31			53	1/2-1/2	7	Millfield ENG		Stephenson,N	2241		twic301.pgn	B91
Orton,S	0	2000.08.07	B56	ch-GBR		2000.07.31			56	1-0	7	Millfield ENG		Hebbes,T	2121		twic301.pgn	B56
Buckley,S	2237	2000.08.07	E97	ch-GBR		2000.07.31			94	1-0	7	Millfield ENG		Crouch,C	2448		twic301.pgn	E97
Hodgson,Ju	2640	2000.08.07	A10	ch-GBR		2000.07.31			55	0-1	7	Millfield ENG		Knott,S	2381		twic301.pgn	A10
Crawley,G	2401	2000.08.07	B89	ch-GBR		2000.07.31			73	1/2-1/2	7	Millfield ENG		Emms,J	2527		twic301.pgn	B89
Chandler,M	2526	2000.08.07	B82	ch-GBR		2000.07.31			53	1/2-1/2	7	Millfield ENG		Gormally,D	2499		twic301.pgn	B43
Douglas,T	0	2000.08.07	E91	ch-GBR		2000.07.31			74	1-0	7	Millfield ENG		Simutowe,A	2322		twic301.pgn	E94
McShane,L	2480	2000.08.07	E73	ch-GBR		2000.07.31			53	1/2-1/2	7	Millfield ENG		Lalic,B	2520		twic301.pgn	E73
D'Costa,L	2157	2000.08.07	B68	ch-GBR		2000.07.31			62	1-0	7	Millfield ENG		Mahesh Chandran,P	2238		twic301.pgn	B68
Hempson,P	2219	2000.08.07	A21	ch-GBR		2000.07.31			56	1-0	7	Millfield ENG		Snape,I	2170		twic301.pgn	A21
Spence,D	2153	2000.08.07	A12	ch-GBR		2000.07.31			78	1-0	7	Millfield ENG		McFarland,R	0		twic301.pgn	A12
Briggs,P	2200	2000.08.07	A10	ch-GBR		2000.07.31			76	1-0	7	Millfield ENG		Lilley,G	2224		twic301.pgn	A10
Vigus,J	2266	2000.08.07	B07	ch-GBR		2000.07.31			66	1-0	7	Millfield ENG		Broomfield,M	2192		twic301.pgn	A41
Freeman,Gordon	0	2000.08.07	B25	ch-GBR		2000.07.31			82	1-0	7	Millfield ENG		Frost,N	2164		twic301.pgn	B25
Willmoth,R	2211	2000.08.07	A41	ch-GBR		2000.07.31			96	1-0	7	Millfield ENG		Pert,N	2455		twic301.pgn	A41
Morgan,B	0	2000.08.07	B38	ch-GBR		2000.07.31			83	0-1	7	Millfield ENG		Aarthie,R	2319		twic301.pgn	B38
Rudd,J	2176	2000.08.08	A36	ch-GBR		2000.07.31			76	1-0	8	Millfield ENG		Williams,S	2353		twic301.pgn	A16
McDonnell,J	2050	2000.08.08	D00	ch-GBR		2000.07.31			28	1/2-1/2	8	Millfield ENG		Freeman,Richard	0		twic301.pgn	D02
Evans Quek,D	0	2000.08.08	D25	ch-GBR		2000.07.31			14	1/2-1/2	8	Millfield ENG		Vigus,J	2266		twic301.pgn	D25
Stephenson,N	2241	2000.08.08	D25	ch-GBR		2000.07.31			23	1/2-1/2	8	Millfield ENG		Spence,D	2153		twic301.pgn	D25
Buckley,M	2124	2000.08.08	C02	ch-GBR		2000.07.31			41	1/2-1/2	8	Millfield ENG		Collins,S	2172		twic301.pgn	C02
Mahesh Chandran,P	2238	2000.08.08	A18	ch-GBR		2000.07.31			58	1-0	8	Millfield ENG		Wohl,A	2461		twic301.pgn	A18
Rayner,F	2256	2000.08.08	A45	ch-GBR		2000.07.31			57	1/2-1/2	8	Millfield ENG		D'Costa,L	2157		twic301.pgn	A45
Hempson,P	2219	2000.08.08	B25	ch-GBR		2000.07.31			57	1/2-1/2	8	Millfield ENG		Freeman,Gordon	0		twic301.pgn	B25
Kemp,Pe	2214	2000.08.08	C54	ch-GBR		2000.07.31			75	1/2-1/2	8	Millfield ENG		Morgan,B	0		twic301.pgn	C53
Pert,N	2455	2000.08.08	E60	ch-GBR		2000.07.31			80	1-0	8	Millfield ENG		Koneru,H	2286		twic301.pgn	A15
Summerscale,A	2459	2000.08.08	D35	ch-GBR		2000.07.31			60	1-0	8	Millfield ENG		Hodgson,Ju	2640		twic301.pgn	D31
Obiamiwe,P	2065	2000.08.08	B86	ch-GBR		2000.07.31			70	1/2-1/2	8	Millfield ENG		Orton,S	0		twic301.pgn	B90
