sfen	depth	ev	mate	nodes	best	pv
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	1	16	False	80	f5e4	['f5e4']
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	2	-29	False	152	f5h7	['f5h7']
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	3	-164	False	226	g8e7	['g8e7', 'e3f5', 'e7f5']
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	4	-54	False	552	f5e4	['f5e4', 'f1d3']
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	5	-54	False	625	f5e4	['f5e4', 'f1d3']
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	6	-54	False	1118	g8e7	['g8e7', 'e3f5', 'e7f5', 'f1d3', 'e8c8']
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	7	-37	False	3373	f5g6	['f5g6', 'f1d3', 'g8e7', 'd1e2', 'd6c7']
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	8	-30	False	5028	g8e7	['g8e7', 'e3f5', 'e7f5', 'f1d3', 'e8c8', 'd1e2', 'c8b8']
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	9	-25	False	6636	f5g6	['f5g6', 'f1d3', 'g8e7', 'd1c2', 'h8g8']
r3k1nr/pp6/2nqpp2/3p1bpp/3P4/2P1NN1P/PP3PP1/R2QKB1R b KQkq -	10	-44	False	8106	f5g6	['f5g6', 'f1d3', 'g8e7', 'd1c2', 'h8g8', 'd3g6', 'e7g6']
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	1	-13	False	45	c5d4	['c5d4', 'e3d4']
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	2	-13	False	183	c5d4	['c5d4', 'e3d4']
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	3	-60	False	299	f8d8	['f8d8', 'd4c5', 'd6c5']
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	4	-24	False	541	f8d8	['f8d8', 'h2h3']
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	5	-28	False	1525	a8b8	['a8b8', 'h2h3', 'f8d8']
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	6	20	False	6279	a8b8	['a8b8', 'b1c2', 'b7c8', 'h2h3']
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	7	22	False	15321	f8d8	['f8d8', 'e3e4', 'c5d4']
r4rk1/1b1nqpbp/pp1ppnp1/2p5/2PP4/1PN1PN2/PB2BPPP/1QRR2K1 b - -	8	28	False	24537	a8b8	['a8b8', 'd4c5', 'd6c5', 'h2h3', 'f6e8', 'e3e4', 'd7e5']
