sfen	depth	ev	mate	nodes	best	pv
7r/2PK4/p7/P7/5k2/8/8/8 b - -	1	-78	False	25	f4e4	['f4e4']
7r/2PK4/p7/P7/5k2/8/8/8 b - -	2	-78	False	62	f4e4	['f4e4']
7r/2PK4/p7/P7/5k2/8/8/8 b - -	3	-78	False	129	f4e4	['f4e4']
7r/2PK4/p7/P7/5k2/8/8/8 b - -	4	-78	False	188	f4e4	['f4e4']
7r/2PK4/p7/P7/5k2/8/8/8 b - -	5	-8	False	1288	f4e3	['f4e3', 'c7c8q', 'h8c8', 'd7c8']
7r/2PK4/p7/P7/5k2/8/8/8 b - -	6	-8	False	1619	f4e3	['f4e3', 'c7c8q', 'h8c8', 'd7c8']
7r/2PK4/p7/P7/5k2/8/8/8 b - -	7	0	False	2552	f4e3	['f4e3', 'c7c8q', 'h8c8', 'd7c8', 'e3d4', 'c8b7']
7r/2PK4/p7/P7/5k2/8/8/8 b - -	8	0	False	3329	f4e3	['f4e3', 'c7c8q', 'h8c8', 'd7c8', 'e3d4', 'c8b7', 'd4c5']
7r/2PK4/p7/P7/5k2/8/8/8 b - -	9	0	False	5616	f4e4	['f4e4', 'c7c8q', 'h8c8', 'd7c8', 'e4d4', 'c8b7', 'd4d5', 'b7b6', 'd5d6', 'b6b7']
7r/2PK4/p7/P7/5k2/8/8/8 b - -	10	2	False	6958	f4e4	['f4e4', 'c7c8q', 'h8c8', 'd7c8', 'e4d4', 'c8b7', 'd4c5', 'b7a6', 'c5c6', 'a6a7', 'c6c7', 'a5a6', 'c7c8', 'a7b6', 'c8b8', 'a6a7', 'b8a8', 'b6c5']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	1	-26	False	54	d8f6	['d8f6', 'c4d5']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	2	-26	False	102	d8f6	['d8f6', 'c4d5']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	3	-26	False	150	d8f6	['d8f6', 'c4d5']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	4	-26	False	198	d8f6	['d8f6', 'c4d5']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	5	-26	False	275	d8f6	['d8f6', 'c4d5']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	6	35	False	630	d8f6	['d8f6', 'c4d5', 'g4f3']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	7	81	False	2756	g7f6	['g7f6', 'f3h4', 'g4e6', 'c4d5', 'd8d5']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	8	86	False	4001	g7f6	['g7f6', 'f3h4', 'g4e6', 'c4d5', 'd8d5', 'e2c4', 'd5e5', 'c4e6']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	9	65	False	5166	g7f6	['g7f6', 'f3h4', 'g4e6', 'c4d5', 'd8d5', 'e2c4']
r2q1rk1/pp3ppp/2n2B2/2bp4/2P3b1/1P3N2/P2NBPPP/R2Q1RK1 b - -	10	68	False	12945	g7f6	['g7f6', 'f3h4', 'g4e6', 'c4d5', 'd8d5', 'e2c4', 'd5g5', 'c4e6', 'g5h4']
6k1/p1rqpp1p/1p4p1/3P4/2n1P3/3Q2P1/PB3P1P/1R4K1 b - -	1	-47	False	37	c4b2	['c4b2', 'b1b2']
6k1/p1rqpp1p/1p4p1/3P4/2n1P3/3Q2P1/PB3P1P/1R4K1 b - -	2	-82	False	74	f7f6	['f7f6']
6k1/p1rqpp1p/1p4p1/3P4/2n1P3/3Q2P1/PB3P1P/1R4K1 b - -	3	-742	False	116	c4b2	['c4b2', 'b1b2', 'c7c1', 'd3d1', 'c1d1', 'g1g2']
