sfen	depth	ev	mate	nodes	best	pv
rnbqkb1r/5ppp/1p2p1n1/pP1pP3/8/2PB1N2/P4PPP/RNBQ1RK1 w kq -	10	136	False	21184	c3c4	['c3c4', 'd5c4', 'd3g6', 'h7g6', 'd1d8', 'e8d8', 'b1a3', 'b8d7', 'a3c4']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	1	112	False	34	d2c4	['d2c4']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	2	224	False	70	e4e5	['e4e5']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	3	224	False	105	e4e5	['e4e5']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	4	224	False	142	e4e5	['e4e5']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	5	443	False	183	e4e5	['e4e5']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	6	517	False	225	e4e5	['e4e5', 'd8d4']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	7	159	False	469	e4e5	['e4e5', 'f6d5', 'd2c4']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	8	58	False	3995	d2c4	['d2c4', 'c8a6', 'b2b3', 'b6b5', 'c4e3', 'b5b4', 'c3e2']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	9	116	False	4691	d2c4	['d2c4', 'c8a6', 'b2b3', 'b6b5', 'c4e3', 'b5b4']
rnbq1rk1/4bppp/1pp1pn2/p7/2pPP3/2N3P1/PP1N1PBP/R1BQ1RK1 w - -	10	50	False	16082	d2c4	['d2c4', 'c8a6', 'b2b3', 'b6b5', 'c4e3', 'a5a4', 'e3c2', 'b5b4', 'c3a4', 'a6f1', 'd1f1']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	1	42	False	59	c4d5	['c4d5']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	2	70	False	202	f3e5	['f3e5']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	3	70	False	382	f3e5	['f3e5']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	4	70	False	516	f3e5	['f3e5']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	5	70	False	690	f3e5	['f3e5', 'd5c4']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	6	64	False	1097	f3e5	['f3e5', 'c6c5']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	7	53	False	2537	f3e5	['f3e5', 'c6c5', 'e5d7', 'f6d7']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	8	57	False	8811	c4d5	['c4d5', 'f6d5', 'c3d5', 'e7h4']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	9	42	False	16005	c4d5	['c4d5', 'f6d5', 'h4e7', 'd5e7', 'd3h7', 'g8h8', 'h7e4']
2rq1rk1/pb1nbpp1/1pp1pn1p/3p4/2PP3B/2NBPN2/PPQ2PPP/3R1RK1 w - -	10	36	False	29916	c4d5	['c4d5', 'f6d5', 'h4e7', 'd5e7', 'b2b4', 'e7d5', 'a2a3', 'd5c3', 'c2c3']
r1bqkb1r/1ppn1ppp/3p1n2/p3p3/P2PP3/2N2N2/1PP2PPP/R1BQKB1R w KQkq -	1	83	False	56	f1c4	['f1c4', 'e5d4']
