FN:  ../mega-clean.pgn
880000 4143.7s
885000 4166.8s
890000 4189.1s
895000 4211.8s
900000 4234.1s
905000 4256.5s
910000 4278.5s
915000 4301.1s
920000 4324.9s
925000 4348.9s
930000 4372.1s
935000 4394.6s
940000 4417.1s
945000 4439.7s
950000 4462.4s
955000 4485.8s
960000 4508.8s
965000 4531.6s
970000 4554.5s
975000 4577.6s
980000 4600.6s
985000 4624.1s
990000 4646.8s
995000 4668.7s
1000000 4691.4s
1005000 4714.4s
1010000 4736.8s
1015000 4759.2s
1020000 4781.9s
1025000 4804.1s
1030000 4826.7s
1035000 4849.1s
1040000 4872.0s
1045000 4895.1s
1050000 4917.9s
1055000 4940.3s
1060000 4962.8s
1065000 4985.2s
1070000 5007.6s
1075000 5029.8s
1080000 5052.4s
1085000 5074.9s
1090000 5096.7s
1095000 5118.9s
1100000 5141.2s
1105000 5163.8s
1110000 5186.6s
1115000 5208.5s
1120000 5230.9s
1125000 5252.8s
1130000 5275.6s
1135000 5297.8s
1140000 5320.6s
1145000 5343.4s
1150000 5365.8s
1155000 5388.6s
1160000 5412.0s
1165000 5436.4s
1170000 5459.8s
1175000 5483.6s
1180000 5506.8s
1185000 5529.7s
1190000 5552.2s
1195000 5577.5s
1200000 5599.3s
1205000 5622.4s
1210000 5645.4s
1215000 5668.5s
1220000 5691.5s
1225000 5714.0s
1230000 5736.9s
1235000 5759.0s
1240000 5780.7s
1245000 5802.6s
1250000 5824.3s
1255000 5846.6s
1260000 5868.8s
1265000 5891.7s
1270000 5914.4s
1275000 5937.5s
1280000 5960.1s
1285000 5983.0s
1290000 6005.7s
1295000 6028.1s
1300000 6050.4s
1305000 6072.1s
1310000 6094.5s
1315000 6117.3s
1320000 6139.5s
1325000 6161.9s
1330000 6185.5s
1335000 6207.7s
1340000 6230.7s
1345000 6253.2s
1350000 6275.5s
1355000 6297.9s
1360000 6321.1s
1365000 6343.9s
1370000 6367.0s
1375000 6391.3s
1380000 6415.3s
1385000 6438.6s
1390000 6461.6s
1395000 6483.9s
1400000 6506.5s
1405000 6528.6s
1410000 6551.9s
1415000 6575.2s
1420000 6598.2s
1425000 6631.6s
1430000 6671.3s
1435000 6702.4s
1440000 6724.5s
1445000 6747.3s
1450000 6770.0s
1455000 6794.3s
1460000 6818.0s
1465000 6841.4s
1470000 6864.0s
1475000 6889.4s
1480000 6914.6s
1485000 6940.2s
1490000 6966.5s
1495000 6991.9s
1500000 7017.8s
1505000 7042.5s
1510000 7068.0s
1515000 7093.1s
1520000 7117.8s
1525000 7143.2s
1530000 7168.3s
1535000 7193.0s
1540000 7217.4s
1545000 7242.7s
1550000 7267.1s
1555000 7291.7s
1560000 7316.6s
1565000 7341.1s
1570000 7365.3s
1575000 7389.4s
1580000 7413.7s
1585000 7437.8s
1590000 7461.8s
1595000 7485.5s
1600000 7509.6s
1605000 7533.4s
1610000 7557.3s
1615000 7581.4s
1620000 7604.6s
1625000 7630.3s
1630000 7656.2s
1635000 7681.8s
1640000 7707.7s
1645000 7733.4s
1650000 7758.3s
1655000 7783.7s
1660000 7809.1s
1665000 7834.6s
1670000 7859.5s
1675000 7884.3s
1680000 7909.2s
1685000 7934.4s
1690000 7959.1s
1695000 7984.0s
1700000 8008.7s
1705000 8033.2s
1710000 8057.9s
1715000 8082.2s
1720000 8106.6s
1725000 8131.2s
1730000 8156.3s
1735000 8181.7s
1740000 8206.5s
1745000 8230.7s
1750000 8254.6s
1755000 8278.7s
1760000 8304.0s
1765000 8329.1s
1770000 8354.4s
1775000 8379.7s
1780000 8404.7s
1785000 8429.6s
1790000 8454.0s
1795000 8478.6s
1800000 8503.2s
1805000 8528.0s
1810000 8552.2s
1815000 8576.7s
1820000 8601.2s
1825000 8625.7s
1830000 8650.0s
1835000 8674.2s
1840000 8698.4s
1845000 8722.4s
1850000 8746.2s
1855000 8770.5s
1860000 8794.3s
1865000 8818.4s
1870000 8842.4s
1875000 8867.3s
1880000 8893.0s
1885000 8918.5s
1890000 8943.8s
1895000 8969.3s
1900000 8994.6s
1905000 9019.8s
1910000 9044.7s
1915000 9070.0s
1920000 9094.7s
1925000 9119.7s
1930000 9144.7s
1935000 9169.5s
1940000 9194.6s
