../ChessOk.com/mega-clean.pgn
0 0 0.0% 0.0s
10000 10000 2.1% 20.7s
20000 20000 4.2% 41.0s
30000 30000 6.4% 62.1s
30000 62.1s
         175767872 function calls (175766556 primitive calls) in 62.177 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   729902    0.216    0.000    0.216    0.000 __init__.py:440(between)
   289339    0.216    0.000    0.277    0.000 __init__.py:3160(is_castling)
  2607484    0.157    0.000    0.157    0.000 __init__.py:1846(is_variant_end)
   660022    0.154    0.000    0.199    0.000 pgn.py:933(__setitem__)
   724577    0.152    0.000    0.181    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
  2491249    0.140    0.000    0.140    0.000 pgn.py:1070(visit_board)
    30003    0.125    0.000    0.166    0.000 {method 'seek' of '_io.TextIOWrapper' objects}
  1405985    0.115    0.000    0.115    0.000 __init__.py:199(square_file)
  1791246    0.104    0.000    0.104    0.000 {method 'lower' of 'str' objects}
   450015    0.080    0.000    0.243    0.000 pgn.py:1138(visit_header)
   279182    0.073    0.000    0.291    0.000 __init__.py:3555(<genexpr>)
   754704    0.062    0.000    0.062    0.000 __init__.py:203(square_rank)
   233610    0.055    0.000    0.367    0.000 __init__.py:784(is_attacked_by)
    30001    0.048    0.000    0.104    0.000 _collections_abc.py:933(update)
   214560    0.040    0.000    0.040    0.000 {method 'finditer' of 're.Pattern' objects}
   754578    0.038    0.000    0.038    0.000 {method 'isspace' of 'str' objects}
   111695    0.037    0.000    0.359    0.000 __init__.py:3554(_attacked_for_king)
    30001    0.035    0.000    0.035    0.000 __init__.py:611(_reset_board)
   493923    0.031    0.000    0.031    0.000 __init__.py:2155(_push_capture)
   111720    0.031    0.000    0.322    0.000 {built-in method builtins.any}
    30001    0.029    0.000    0.161    0.000 __init__.py:3282(has_chess960_castling_rights)
    53810    0.027    0.000    0.046    0.000 __init__.py:207(square_distance)
    30001    0.026    0.000    0.143    0.000 __init__.py:1542(__init__)
    90004    0.025    0.000    0.043    0.000 _collections_abc.py:760(get)
    60002    0.025    0.000    0.025    0.000 {built-in method _codecs.utf_8_decode}
    30001    0.025    0.000    0.160    0.000 pgn.py:782(__init__)
   120004    0.024    0.000    0.024    0.000 pgn.py:943(__getitem__)
    60002    0.024    0.000    0.049    0.000 codecs.py:319(decode)
    47980    0.023    0.000    0.070    0.000 __init__.py:3167(is_kingside_castling)
    95960    0.022    0.000    0.674    0.000 __init__.py:2974(<genexpr>)
    30001    0.021    0.000    0.125    0.000 pgn.py:887(__init__)
    30001    0.019    0.000    0.179    0.000 pgn.py:1128(begin_game)
    91248    0.019    0.000    0.019    0.000 __init__.py:1731(generate_pseudo_legal_ep)
   400521    0.018    0.000    0.018    0.000 {built-in method builtins.abs}
    30001    0.016    0.000    0.073    0.000 __init__.py:1603(reset_board)
    30001    0.016    0.000    0.089    0.000 __init__.py:1593(reset)
    30001    0.015    0.000    0.015    0.000 __init__.py:635(_clear_board)
        1    0.014    0.014   62.177   62.177 pgn-benchmark1.py:13(<module>)
    10816    0.013    0.000    0.059    0.000 __init__.py:359(_sliding_attacks)
    30001    0.013    0.000    0.026    0.000 pgn.py:904(is_chess960)
    30001    0.012    0.000    0.028    0.000 __init__.py:601(__init__)
    30001    0.012    0.000    0.028    0.000 pgn.py:1153(visit_result)
    30001    0.012    0.000    0.018    0.000 _collections_abc.py:767(__contains__)
   106553    0.012    0.000    0.012    0.000 __init__.py:437(ray)
    30001    0.011    0.000    0.014    0.000 __init__.py:1629(clear_stack)
    90002    0.011    0.000    0.011    0.000 codecs.py:335(setstate)
    30001    0.010    0.000    0.029    0.000 pgn.py:919(variant)
