Game: Niemann,Hans Moke (2637) vs Johansson,CF (2221)
56, e3a7, e3a7 : False
57, e5e1, a5a4 : False
FORCED
59, f7e7, f7e7 : False
60, c2d2, c2d2 : False
61, a6c6, a6c6 : False
62, b7b8, b7b8 : False
63, c6d6, c6d6 : True
64, a7c5, a7c5 : True
65, e1c1, e1c1 : False
66, c5d6, c5a3 : False
67, c7d6, c7d6 : True
68, d2b2, d2b2 : False
69, e7d7, e7d7 : False
70, b2b7, b8a8 : False
71, d8c7, d8c7 : False
72, b8g8, b7b1 : False
73, d7c6, d7c6 : True
74, b7b2, b7b3 : False
75, d6d5, d6d5 : False
76, b2e2, b2d2 : False
77, e6e5, e6e5 : True
78, g8g7, g8g7 : True
79, d5d4, d5d4 : True
80, g2f3, e2d2 : False
81, c6d5, c6d5 : False
82, e2b2, g7d7 : False
83, e5e4, e5e4 : False
84, f3e2, f3e2 : False
85, c7d6, c7d6 : False
86, g7g5, g7g5 : False
87, d5c4, d5c4 : False
88, e2d2, e2d2 : False
89, c1f1, c1f1 : True
90, b2c2, b2c2 : False
FORCED
92, g5d5, g5d5 : False
93, f1f2, d4d3 : False
94, d2c1, d2c1 : False
95, f2f1, f2c2 : False
96, c1b2, c1b2 : False
97, d4d3, d4d3 : False
98, d5d4, d5d4 : False
FORCED
100, a2a4, a2a4 : False
101, b5b6, b5b6 : False
102, d4d6, d4d6 : True
103, b6b7, b6b7 : False
104, c2g2, c2c1 : False
105, b7c7, h7h5 : False
106, d6e6, d6d4 : False
107, f1e1, f1e1 : False
108, g2d2, g2d2 : False
109, c7d7, c7d7 : False
110, e6e5, e6e5 : False
111, d7d6, d7d6 : False
112, e5a5, e5a5 : False
Game: Niemann,Hans Moke (2637) vs Gretarsson,Hj (2542)
20, g3g4, g3g4 : False
21, f8b4, f8b4 : False
22, c1d2, c1d2 : False
23, e8g8, e8g8 : False
24, e4e5, f2f3 : False
25, f6d7, f6d7 : False
26, f2f4, f2f4 : False
27, f7f6, f7f6 : False
28, e5f6, a2a3 : False
29, d7f6, f8f6 : False
30, g4g5, g4g5 : False
31, f6d7, f6d7 : False
32, e1c1, e1c1 : False
33, e6e5, b4d6 : False
34, h1h4, e2d3 : False
35, b4e7, b4e7 : False
36, e2d3, e2f3 : False
37, h7h6, h7h6 : False
38, h4h2, h4h2 : False
39, d7c5, e5f4 : False
40, g5h6, g5h6 : False
41, c5d3, c5d3 : False
42, c2d3, c2d3 : True
43, e5f4, e5f4 : False
44, h6g7, h6g7 : False
45, g8g7, g8g7 : True
46, d1h1, d1h1 : False
47, e7g5, e7g5 : False
48, h2h7, h2h7 : False
49, g7g6, g7f6 : False
50, h7c7, h7c7 : False
51, c8e6, c8f5 : False
52, c7c6, c7c6 : False
53, f8f6, f8f6 : False
54, h1e1, h1f1 : False
55, e6f7, e6f5 : False
56, c6f6, c6f6 : False
57, g5f6, g6f6 : False
58, c3e2, c3e2 : False
59, a8c8, a6a5 : False
60, c1b1, c1b1 : True
61, f6h4, f4f3 : False
62, e2f4, e1f1 : False
63, g6f5, g6f5 : False
64, e1f1, e1f1 : False
65, f5g4, f5e5 : False
66, f4e2, f4e2 : False
67, f7g8, f7e8 : False
68, f1f4, f1f4 : True
69, g4h5, g4h5 : True
70, f4a4, f4a4 : False
71, g8h7, g8h7 : False
72, e2f4, e2f4 : False
Game: Hjartarson,J (2465) vs Niemann,Hans Moke (2637)
20, d2c3, d2c3 : False
21, g7g5, a7a5 : False
22, f4e2, f4e2 : False
23, e8g8, e8f8 : False
24, h2h3, h2h3 : False
25, a8b8, c8d7 : False
26, g3g4, g3g4 : True
27, b7b5, b7b5 : False
28, b3d1, a2a3 : False
29, b5b4, b5b4 : False
30, c3d2, c3d2 : True
31, c6e7, c6e7 : False
32, e2g3, d1c2 : False
33, e7g6, e7g6 : False
34, a1c1, a2a3 : False
35, g6h4, g6h4 : False
36, f1e2, d1a4 : False
37, d8b6, c8d7 : False
38, c1c5, d1a4 : False
39, c8a6, c8d7 : False
40, d1a4, d1a4 : False
41, a6e2, a6d3 : False
42, e1e2, e1e2 : True
43, b6e6, f6e8 : False
44, h1c1, c5c6 : False
45, b8b6, f8c8 : False
46, c5c6, c5c6 : False
47, e6d7, b6c6 : False
48, b2b3, g3h5 : False
49, b6c6, d7b7 : False
50, c1c6, a4c6 : False
51, d7d8, f8c8 : False
52, d2b4, d2b4 : False
Game: Niemann,Hans Moke (2637) vs Hedman,E (2362)
20, c1e3, c4f1 : False
21, e5d4, e5d4 : False
22, f3d4, f3d4 : False
23, e7f8, e7f8 : False
24, e3f4, e3f4 : False
25, a8b8, d7e5 : False
26, e1e3, g1h1 : False
27, b7b5, d7e5 : False
28, a5b6, a5b6 : False
29, a7b6, a7b6 : False
30, b2b4, c4f1 : False
31, b6b5, b6b5 : False
32, c4b3, c4b3 : False
33, d7e5, d7e5 : False
34, f4g3, d1e2 : False
35, c8d7, c7b6 : False
36, d1e2, d1e2 : False
37, c7b6, c7b7 : False
38, a1d1, a1d1 : False
39, c6c5, b8a8 : False
40, b4c5, b4c5 : True
41, d6c5, d6c5 : False
42, g3e5, g3e5 : False
43, e8e5, e8e5 : True
44, d4f3, d4f3 : True
45, e5e8, e5e7 : False
46, e4e5, b3f7 : False
47, c5c4, c5c4 : True
48, e5f6, e5f6 : False
49, e8e3, e8e3 : False
50, f2e3, f2e3 : False
51, d7e6, b6f6 : False
52, b3a2, b3a2 : False
53, b6a5, b6a5 : False
54, e2e1, c3b5 : False
55, b5b4, b5b4 : False
56, e1g3, f6g7 : False
57, b8e8, b8c8 : False
58, f6g7, f6g7 : False
59, f8c5, f8e7 : False
60, c3e4, c3e4 : False
61, c5e3, c5e7 : False
62, g1h1, g1h1 : False
63, a5f5, a5f5 : False
64, g3e5, g3h4 : False
65, f5e5, f5e5 : False
66, f3e5, f3e5 : True
67, g8g7, e8c8 : False
68, e4d6, e4d6 : False
69, e8d8, e8a8 : False
70, d6f5, a2c4 : False
Game: Thorfinnsson,Br (2419) vs Niemann,Hans Moke (2637)
20, d2c4, d2c4 : False
21, e8g8, e8g8 : True
22, f3d2, h2h3 : False
23, c8e6, f6h5 : False
24, d1e2, d1e2 : False
25, d8c7, f8e8 : False
26, a1e1, a1e1 : False
27, f8e8, f8e8 : False
28, e2d1, f2f4 : False
29, f6d7, f6h5 : False
30, f2f4, f2f4 : True
31, e6c4, d6d5 : False
32, d2c4, b3c4 : False
33, d6d5, d6d5 : False
34, c4e5, c4d2 : False
35, d7e5, d7e5 : True
36, b2e5, f4e5 : False
37, g7e5, g7e5 : True
38, f4e5, f4e5 : True
39, e8e5, e8e5 : False
40, f1f6, f1f6 : False
41, a8e8, a8e8 : False
42, d1f3, d1d2 : False
43, e5e6, e8e6 : False
44, e3e4, f6e6 : False
45, e8e7, e6f6 : False
46, f6e6, f6e6 : False
47, e7e6, e7e6 : True
48, e1f1, h2h3 : False
49, d5e4, d5e4 : False
50, d3e4, d3e4 : False
51, c5c4, c5c4 : False
52, h2h3, h2h3 : False
53, c7e7, c7e7 : False
54, e4e5, e4e5 : False
